question,answer
Apakah kanker dapat disembuhkan?,"Menurut salsa bisa disembuhkan -Ketika orang tersebut memiliki SEMANGAT untuk hidup yang tinggi -Kemudian perubahan gaya hidup lebih sehat -Menjauhi yang negatif - Mendapat dukungan dari orang-orang tersayang Tidak ada yang tidak mungkin didunia ini jika Tuhan sudah berkehendak maka terjadilah,karena penelitian sudah membuktikan bahwa memang pernah terjadi adanya … Sekian dan Terimakasih"
Mengapa kanker ginjal bisa muncul?,"Mengapa tidak? Kanker biasanya terjadi karena ada mutasi di DNA yang imunitas kami tidak bisa brantas. Sebagian itu untung-untungan. Risiko mendapat mutasi itu pada umumnya lebih tinggi jika kena sinar X atau radioaktif, kena zat kimia yang menyebabkan kanker = carcinogen seperti merokok, alkohol."
Apakah kanker stadium 3 bisa disembuhkan?,Harapan untuk sembuh selalu ada. Jangan putus asa. Setiap pengorbanan yg kita lakukan untuk meraih kesembuhan akan menjadi kado istimewa kelak di kemudian hari. Jika seandai nya pun tidak tersembuhkan bukan berarti dunia akan runtuh.
Apakah diet ketogenik dapat menyembuhkan kanker?,"What the hell! Pertanyaan ini tidak muncul karena ada yang nyebarin ke media sosial kan? Pesan saya: jangan main-main sama kanker, karena pasien kanker berpacu dengan waktu. Jika sampai coba-coba pengobatan dan stadiumnya udah bablas parah, kita nggak bisa memutar balik waktu lo. Pengobatan kanker ya pakai obat-obatan kanker, bukan pake obat herbal, apalagi diet-diet ga jelas. Apalagi sampai ngeklaim bahwa dengan diet (((saja))) bisa nyembuhin kanker 🤦"
Mengapa sulit untuk mengobati kanker stadium 4?,"Karena pada kanker stadium 4 sudah ada sel-sel kanker yang beredar diseluruh tubuh pasien, jadi tidak lagi terbatas pada suatu jaringan atau organ. Sehingga kita tidak bisa mengisolir pertumbuhannya, karena sudah menjadi hal yang sistemik. Langkah terbaik yang bisa dilakukan adalah dengan kemoterapi, tetapi ini merupakan pedang bermata dua, karena obat-obatan kemoterapi fungsinya adalah menghancurkan sel yang bertumbuh secara patologis sementara sel-sel kanker yang patologis itu sudah tersebar ke seluruh tubuh maka ikut ‘meracuni’ sel-sel sehat di jaringan organ tempat sel kanker itu berada. Dua hal inilah yang menyebabkan kenapa kanker stadium 4 angka rerata kesembuhan dalam 5 tahun-nya sangat rendah (berkisar dibawah 25%). Karenanya deteksi dini itu sangat perlu dan tidak boleh dianggap remeh, lebih baik kita berprasangka buruk pada suatu benjolan sampai terbukti tidak ganas daripada mengganggap remeh suatu benjolan yang kecil, tidak nyeri dan tidak mengganggu untuk kemudian berkembang menjadi hal yang sangat menakutkan yang tidak terdeteksi sampai stadium 4."
Apakah kemoterapi benar benar dapat menyembuhkan kanker yang sudah mengenai beberapa organ ?,"Tidak, kecuali lekemi akut terutama di anak-anak/orang remaja, dan limfoma ganas. Tetapi akhir-akhir ini telah diperkembangkan obat melawan kanker yang baru, bukan racun umum seperti kemoterapi, tetapi diarahkan ke metabolisme yang berubah khusus di kanker itu, atau menggunakan sistim imun kami sendiri, berhasil terutama jika ada sesuatu mutasi di kanker itu, ini contohnya melanoma yang sebelum ada imunoterapi ini jika sudah meyebar tidal bisa diobati lagi, ini scan sebelum disbelah kiri dan setelah imunoterapi disebelah kanan (hitam itu aktivitas kanker, di scan kanan yang hitam jantung dan kandung kemih yang normal)ada obat lainnya yang khusus diarahkan kepada kelainan metabolisme kanker itu, diarahkan ke mitokondria sel kanker (sumber energi sel) sehingga sel yang sehat tidak kena. A New Way to Fight Cancer Dengan obat baru yang demikian kadang-kadang bisa bulanan, bahkan tahunan hidup dengen kwalitas penghidupan yang baik, harapan kami jika kanker itu menjadi kebal terhadap obat yang baru ini, akan tersedia obat generasi kedua, lalu ketiga dsb.dsb. sehingga penyakit kanker yang sudah tersebar bisa diubah menjadi penyakit kronis seperti penyakit HIV sekarang."
Mengapa belum ada hasil yang lebih baik dalam penyembuhan kanker?,"Perlu diingat bahwa kanker berbeda dengan “penyakit-penyakit” lain pada umumnya. Alih-alih antek asing yang berasal dari luar tubuh, kanker adalah pertumbuhan sel tubuh yang tak terkendali dan menumbalkan sel-sel lain yang tumbuh, berfungsi, dan mati normal. Dengan mengingat hal tersebut, kita bisa sedikit-banyak memahami bahwa “penyakit” ini memiliki banyak sekali atribut atau sifat yang sama dengan sel tubuh yang normal. Menciptakan sebuah metode (diagnostik, radiologi, bedah, obat, rekayasa genetika, dll.) yang bisa membedakan kanker dan sel tubuh normal, atau dengan kata lain spesifik DAN efektif menyerang kanker TANPA turut menyerang dan mengorbankan sel tubuh normal, menjadi tantangan tersendiri dalam penanganan kanker, dibandingkan dengan “penyakit” lainnya. Bahkan setelah miliaran dolar. OP: Mengapa belum ada hasil yang lebih baik dalam penyembuhan kanker?"
Apakah kanker benar benar bisa sembuh dengan pengobatan alternatif?,"Karena oengobatan alternatif belum pernah terbukti ada effek baik kepadakanker, jawaban ya TIDAK. Orang yang ngakunya sembuh setelah memakai pengobatan alternatif belum pernah terbukti (jadi bukan X foto saja, perlu pemeriksaan jaringen kanker), jadi bisa “sembuh”."
Mengapa kanker tidak bisa disembuhkan?,"Halooo saya mencoba menjawab mumpung belum ada yang menjawab. Kalau ada yang lebih kompeten mungkin bisa ditambahkan atau dikoreksi jawaban dari saya. Jadi memang kanker itu sulit untuk disembuhkan, bahkan kondisi sembuh dari kanker disebutkan dengan istilah remisi dimana kanker masih bisa kambuh kembali yang disebut dengan kondisi relaps. Kenapanya adalah karena ukurannya yang sangat-sangat-sangat kecil dan sifat penyebarannya sangat mengerikan. Berbeda dengan bakteri yang meskipun ukurannya juga kecil bisa dibatasi penyebarannya sampai berbentuk abses atau bisul. Selain itu pengobatan untuk kanker memiliki prinsip siapa yang mati duluan antara pasien atau sel kanker. Karena obat yang diberikan selain membunuh sel kanker juga membunuh sel yang sehat. Memang ada yang disebut dengan targeted cell therapy seperti pada kasus kanker payudara, tetapi ada kekurangan dimana sel yang dapat diobati harus memiliki karakteristik khusus yakni memiliki reseptor HER2. Tentu ada sel yang tidak memiliki karakteristik khusus ini sehingga kembali masalah pengobatan kanker menjadi rumit. Untuk menekankan betapa penyebaran kanker cukup mengerikan, saya akan memberikan contoh. Ketika operasi untuk mengangkat benjolan kanker dilakukan, bukan hanya benjolannya saja yang diangkat tetapi jaringan sehat disekitar benjolan tersebut juga diangkat karena sel kanker dapat menginfiltrasi jaringan-jaringan yang sehat tersebut tetapi tidak terlihat di mikroskop. Bahkan dengan metode ini pun belum bisa memastikan bahwa pasien akan bebas kanker selamanya. Mungkin hal yang saya tulis di atas cukup pesimis sehingga kita mungkin menganggap bahwa menderita kanker adalah sesuatu hukuman mati, tetapi dunia kedokteran kita sekarang semakin maju, semakin banyak cara-cara yang ditemukan untuk mengobati kanker dan kita berharap semakin banyak orang yang dapat bebas dari kanker."
Apakah benar bonggol nanas dapat menyembuhkan kanker?,"Pikirkan: jika ini benar, nanas murah, kan semua kanker sudah disembuhkan? Pertanyaan semacam ini sering ditanya oleh orang Asia (Tenggara, Selatan), yang sering tidak berpikir secara rasionil, tetapi secara magis (magical thinking)….. Untuk orang yang kena kanker ini yang paling mengesalkan: setelah mendengar ada yang kena kanker, langsung kenalan-kenalan berbrondong datang membawa berbagai daunan, buah-buahan, jamu dsb. yang belum pernah ada bukti ilmiah berefek dimanusia, untuk dimakan, mereka sering marah jika sang pasien bilang tidak mau/tidak perlu. Jawabannya jelas: hoaks!"
