question,answer
Apa yang sebaiknya tidak kita lakukan saat liburan ke Bali?,Mencoba menjawabJangan membuang sampah sembaranganJangan memasuki area suci tempat ibadah tanpa ijin terlebih dahulu dan menggunakan pakaian adat sesuai aturan.Jangan melakukan kegiatan sampai melewati jam 12 malam kecuali di tempat yang sudah mendapatkan ijin karena dapat menggangu ketenangan.Bersikap ramah karena orang indonesia terkenal ramahTerima kasih semoga membantu
Apakah kamu pernah berlibur ke Bali? Bagaimana menurutmu sikap orang Bali pada umumnya?,"Ok saya akan coba jawab dari perspektif saya arek Suroboyo asli .Saya suka banget traveling, nah khusus untuk Bali lumayan sering, rinciannya 3 kali motoran dari Surabaya ke Bali, 2 kali pake mobil Surabaya - Bali, 2 kali dengan pesawat, sekali tour rombongan 1 bus, dan sekali pake angkutan darat umum. Selama di Bali saya hampir mengelilingi pulau dewata ini mulai sisi utara sampai selatan terjelajahi, dari pengalaman yang saya dapat banyak kesan yang saya bisa saya tulis disini beberapa diantaranya ;saat traveling di suatu tempat, saya sering masuk ke pasar tradisional, sapa tau nemu makanan khas daerah tersebut yang bisa dicoba, nah kalo di Bali rada susah soalnya ada beberapa makanan atau minuman yang gak pas dengan agama saya .masyarakat Bali menurut saya sangat taat menjalankan ritual ibadahnya sehari hari, jangankan di pura , bahkan didepan toko atau lapak merekapun mereka sempatkan untuk melakukan ritual ibadah, salut.Saya suka banget dengan gadis Bali yang sering saya temui dijalan mengenakan pakaian tradisional kebaya dengan ikat pinggang , plus bunga terselip dirambutnya, pemandangan seperti ini hampir setiap saat saya temui, dan sensasi tradisional kayak gini hampir tidak ada di tempat lain di Indonesia ( saya masih menemukan di pasar tradisional Jogja perempuan yang mengenakan jarik dan kebaya, tapi rata rata sudah tua, bukan gadis muda).Banyak sepeda motor yang diparkir begitu saja tanpa ada tukang parkir disekitarnya, bahkan kadang dengan kunci kontak yang masih tertinggal di kendaraan, hal ini masih banyak saya temui saat berkeliling hingga pelosok desa, saya bahkan pernah menginap di guest house di Ubud selama beberapa hari, si pemilik mempersilahkan saya memakai motor yang mereka miliki dengan ongkos sewa seikhlasnya kita, bahkan menginap pun tidak dihitung harian, belum lagi saya bisa bebas bikin kopi, teh sesukanya di dapur mereka ( waktu saya bayar saat hendak check out, lama hari menginap malah nanya sama saya , trus sewa motor juga gitu, pokoknya baik banget deh si pemilik guest house itu, murah dan bagus lagi )Ternyata orang Bali, terutama yang di pelosok , tidak suka dengan bunyi klakson kendaraan, jadi kalau kalian keliling Bali pake kendaraan, disarankan jangan obral klakson kecuali penting.Banyak lelaki Bali yang punya tatoo , itu hal yang normal disana, trus banyak banget anjing berkeliaran dimana mana bahkan di dalam guest house sekalipun, hal ini saya alami saat di Ubud, tapi jangan kuatir , anjingnya biasa aja koq, udah familiar dengan kehadiran tamu.Saat malam tiba, banyak tempat , jalan yang gelap atau temaram di Bali, saya yang biasa di Surabaya terang benderang dan ramai saat malam, harus menyesuaikan diri dengan kondisi Bali yang gelap, temaram dan sepi, walaupun aman .Di Bali susah nyari warkop atau warung semacamnya buat mampir nongkrong, minum teh atau pesen mie instant misalnya, apalagi kalo malam tiba, saya pernah motoran malam malam keliling nyari warung gak nemu, sepi pokoknya.masih banyak banget yang bisa ditulis disini tentang Bali, mungkin lain waktu, daah."
Apa saja tempat wisata yang menarik untuk dikunjungi di Bali?,"Lima doang? Di Bali itu wisatanya ratusan, kayak wafer tango aja. Jadi bingung mana yang harus dipilih. Hmmm, apa ya lima yang wajib dikunjungi? Saya baru tinggal di Bali kurang lebih 2,5 tahunan. Berikut 5 top destination menurut saya sih.Pura Luhur UluwatuJatiluwih Rice TerraceGunung BaturNusa LembonganPantai MelastiFoto dan alasannya kenapa menyusul ya… hehe."
"Apa yang membuat Bali istimewa, selain pariwisata?","Tidak semua orang bisa mengatakan hal ini, karena Bali bagi saya adalah rumah. Semua keluarga, teman, makanan, dan lokasi favorit saya ada di Bali. Itu saja jawaban saya sebagai orang Bali. Untuk orang yang berkunjung ke Bali sebagai pelancong, biasanya alam dan keramahan penduduk serta budaya. Tapi, jika ditanyakan lebih dalam kepada orang-orang yang berkunjung tadi, ada sebuah rasa damai saat mereka berkunjung ke Bali. Saya sebagai orang Bali juga merasakan hal ini ketika saya pulang kampung, Bali memberikan energi lebih ketika saya mulai masuk wilayahnya entah dari laut atau udara. Hal ini, menurut saya juga berkaitan erat dengan bagaimana manusia Bali berusaha menjaga keseimbangan dan keasrian alamnya. Saya bukan orang indigo atau memiliki kemampuan klenik, tapi dari banyak orang yang saya temui di Bali (tidak terbatas yang berkunjung ke Ubud untuk yoga), mereka bisa merasakan energi mereka terisi kembali dengan datang ke Bali. Jadi, saya yakin bahwa alam Bali memberikan energi positif kepada manusia sebagai balasan dari semua pemujaan dan aktivitas yang menjaga keasriannya. Walaupun pembangunan pariwisata sudah tidak terkendali dan sekarang dihantam pandemik, saya harap semua orang bisa tetap menjaga alam Bali tetap asri dan harmoni. Salam damai."
Apa yang tidak boleh dilakukan seseorang saat berlibur di Bali?,"Banyak yang jangan di lakukan saat libur di Bali:Jangan melotot kalau lihat bule setengah telanjang naik motor - nanti nabrak kalau lagi nyetirJangan asal order makanan yang gak tahu karena pakai bahasa asing, giliran mengandung babi - waiter nya yang di omelin.Jangan kebablasan kalau selfie di pantai, kebawa ombak jauh berenang nya apalagi sampe kena karang, nekad lagi selfie di Devil tears . Selfie di Bibir Tebing Devil Tears, Turis India Ditelan Ombak, Polisi: Tak Ada yang Bisa Nolong - Tribun BaliJangan deh pakai nyoba tato - tatoan biar keren, begitu pulang di labrak lagi ama keluarga.Jangan bawa-bawa drone, apalagi di terbangin deket hotel, bisa di kejar - kejar ama tuh satpam di pikir mo ngintip orang berenang.Jangan … Jangan banyak pikir, mo ke Bali datang aja, banyak jalan buat fun, lupakan yang no 1 sampe 5, yang penting niat nya fun, kalau ada kejadian aneh - anggap aja adventure."
Menurutmu kapan pariwisata khususnya di Bali akan kembali normal?,"2021 akhir atau malah 2022, sembari menunggu vaksin turis domestik akan ada tapi tidak seramai biasanya. Menurut saya karena bepergian sekarang terasa lebih mahal karena harus bayar biaya rapid test dan juga urus-urus dokumen. Tidak sepadan kalau sekadar mau liburan hanya seminggu. Sedangkan untuk turis asing semua bergantung pada negara-negara lain, kapan mereka akan percaya Indonesia sudah aman. Beberapa negara sekarang sudah mulai membuka perbatasan, contoh negara-negara Uni Eropa. Itu pun hanya untuk sesama negara Uni Eropa yang dirasa sudah bisa mengendalikan keadaan dengan baik. Belum lagi perekonomian di luar negeri juga sama-sama hancur, jadi saya rasa orang-orang luar juga akan lebih mementingkan untuk kebutuhan pokok dibanding untuk liburan ke luar negeri yang jauh-jauh."
Di mana wisata Bali yang paling bagus?,"Banyak wisata di Bali yang menarik. Mulai dari wisata laut, desa adat, pegunungan, kuliner, sampai wisata industri kerajinan. Tetapi dari sekian banyak tempat wisata yang telah saya kunjuungi di Bali, Desa Trunyan adalah yang paling berkesan. Hal ini karena disebabkan keunikan adat istiadat di desa ini, salah satunya adalah cara pemakaman yang unik. Jenazah hanya diletakkan begitu saja namun tidak berbau. Untuk informasi lebih jelasnya, silahkan baca artikel berikut, Wisata Misteri : Menguak Kabut Sejarah Desa Trunyan"
Apa spot wisata di Bali yang sepi jauh dari keramaian namun tetap menarik?,Pantai Lovina bisa dikatakan relatif sepi dibandingkan dengan pantai lainnya di pulau Bali.Hanya saja pantai ini memiliki keunikan sendiri yaitu wisatawan bisa melihat lumba-lumba secara langsung.
Mengapa sekolah di Bali banyak liburnya?,"Untuk awalnya bisa dilihat, Bali itu berarti banyak libur. Jadi, sangat wajar jika kami memiliki jumlah libur yang lebih banyak dari daerah lain di Indonesia. Wkwkwk Jumlah libur ditentukan oleh pemerintah, jadi Bali memiliki liburan nasional dan pemprov. Yang dari pemprov biasanya hari besar Hindu. Kalau dijadikan daftar mungkin seperti ini liburan tambahan di Bali. Galungan (3 hari) setahun 2 kali. Kuningan (2 hari) setahun 2 kali. Siwaratri (2 hari) setahun 1 kali. Pagerwesi (1 hari) setahun 2 kali. Nyepi (3 hari) setahun 1 kali."
"Apa yang membuat Bali istimewa, selain pariwisata?","Tidak semua orang bisa mengatakan hal ini, karena Bali bagi saya adalah rumah. Semua keluarga, teman, makanan, dan lokasi favorit saya ada di Bali. Itu saja jawaban saya sebagai orang Bali. Untuk orang yang berkunjung ke Bali sebagai pelancong, biasanya alam dan keramahan penduduk serta budaya. Tapi, jika ditanyakan lebih dalam kepada orang-orang yang berkunjung tadi, ada sebuah rasa damai saat mereka berkunjung ke Bali. Saya sebagai orang Bali juga merasakan hal ini ketika saya pulang kampung, Bali memberikan energi lebih ketika saya mulai masuk wilayahnya entah dari laut atau udara. Hal ini, menurut saya juga berkaitan erat dengan bagaimana manusia Bali berusaha menjaga keseimbangan dan keasrian alamnya. Saya bukan orang indigo atau memiliki kemampuan klenik, tapi dari banyak orang yang saya temui di Bali (tidak terbatas yang berkunjung ke Ubud untuk yoga), mereka bisa merasakan energi mereka terisi kembali dengan datang ke Bali. Jadi, saya yakin bahwa alam Bali memberikan energi positif kepada manusia sebagai balasan dari semua pemujaan dan aktivitas yang menjaga keasriannya. Walaupun pembangunan pariwisata sudah tidak terkendali dan sekarang dihantam pandemik, saya harap semua orang bisa tetap menjaga alam Bali tetap asri dan harmoni. Salam damai."
