question,answer
Serum apa yang cocok untuk mengobati jerawatan untuk wajah normal sampai berminyak?,Serum yang mengandung retinol.
Bagaimana cara menyembuhkan bruntusan di wajah?,"ini pengalaman pribadi sih. Maaf kalo kependekan ya, karna cara ku emg simple bgt. Back to basic, alias jangan pake apa2 dulu ke wajah. Pake skincare minimalism aja, double cleansing, toner, & obat jerawat totol. Pastikan muka selalu dlm keadaan bersih. Makanya double cleansing wajib sih. Terutama pada malam hari sebelum tidur. Kalo kulit kamu tipikal yg kering, jng pake cleansing oil/ cleansing balm ya. Di khawatirkan sisa residu nya malah menyumbat kulit & bawa efek negatif. Toner biar kulit ga kering. Kalo kamu merasa ga cocok dng byk toner, aku saranin utk pake air mawar. Rekomendasi ku sariayu refreshing toner mawar. Aku udh cobain byk air mawar & ini yg paling nampol sih. Di kulit ku sih gaada efek negatifnya. Oiya, sering2 ya pakein toner nya. Utk obat jerawat totol itu cocok-cocokan sih ya. Jadi aku ga akan rekomendasiin, karna pengalaman aku juga baru pake 1 merek obat totol. Penting bgt utk pakein bruntusan/jerawat dng obat totol supaya cepet sembuh & ga berbekas. Udh itu aja sih. Pokok koentjinya jaga kebersihan wajah. Thats it."
Apakah benar kunyit dapat menghilangkan bekas jerawat?,"Kunyit dapat memudarkan bekas jerawat, untuk sampai menghilangkan mungkin butuh proses yang lama tergantung dengan bekas jerawatnya sendiri. Kunyit mengandung senyawa polifenol yang disebut kurkumin, senyawa ini memiliki aktivitas menghambat proses melanogenesis, namun untuk mekanisme secara molekularnya masih belum pasti. Beberapa penelitian menyatakan kurkumin menginhibisi aktivitas enzim tyrosinase, ada pula yang menyebutkan kurkumin mempengaruhi aktivitas pensinyalan hormon yang meregulasi melanogenesis, dll."
Bagaimana cara menghilangkan jerawat “bruntusan” di wajah?,"Rajin bersihin wajahBersihin wajah setidaknya 2 kali sehari, ketika bangun dan sebelum tidur. Pilih sabun cuci muka yang sesuai dengan jenis kulit kmu. Jika diperlukan, juga bisa menerapkan prinsip double cleansing, alias cuci wajah dua kali untuk memastikan kulit wajah benar-benar bersih dari kotoran. 2. Eksfoliasi Untuk menghilangkan sel kulit mati di muka, tp jgn terlalu sering. 3. Aku suka pake masker himalaya neem mask, lumayan buat ngilangin bruntusan."
Apa pengalaman pribadimu dengan perawatan untuk jerawat yang parah?,"Aku jerawatan mulai dari SMP. Ya aku pikir itu hanya pubertas dan saat itu aku masih bodoh soal kecantikan dan skincare. Aku selalu dibully karena jerawatan. Sudah banyak perawatan yang aku coba hanya berdasarkan ""katanya"". Maksud aku, setiap yang disarankan orang lain selalu aku coba kecuali, perawatan di dokter SPKK/Klinik karena menurut aku mahal dan tidak sanggup.Ini adalah kondisi muka aku sekitar 2018 tahun lalu. Aslinya jerawatan semuka dan kusam. Muka ku terlalu sensitive, produk yang ga cocok bakal jadi jerawat batu.Aku yang tengah, foto diambil pas tahun 2016. Lihat, pakai fillter pun masih kelihatan jerawatan. Dulu aku benci sekali jerawatan. Aku jarang berfoto karena malu. Sampai akhirnya aku sadar, jerawatan itu normal. Pelan pelan aku coba skincare. Aku mulai nabung buat beli skincare yang sedikit mahal salah satunya produk cosrx. Aku mulai mengenali type kulit ku. Perbanyak baca artikel soal skincare.Lalu ini aku sekarang. Setelah bertahun tahun perang dengan jerawat. Aku tau masih tidak mulus. Aku masih punya bekas jerawat dan bopeng. Bopeng cuman bisa diatasin dengan treatment. Biayanya menurut ku cukup mahal, jadi sampai sekarang aku cuman rajin pakai skincare dan jaga kebersihan. Inti dari melawan jerawat adalah sabar dan cintai diri sendiri."
Apa rekomendasi sabun cuci wajah untuk wajah bruntusan dan bekas jerawat menghitam?,"1.Emina Dot Brush Face WashFormulanya yang ringan membuat produk ini aman digunakan setiap hari. Hasil akhir pemakaian kulit akan terasa lebih halus lembut tanpa terasa tertarik dan kering. 2. Mineral Botanica Acne Care Facial FoamFacial wash yang satu ini memiliki pH balance yang sesuai dengan pH ideal kulit, yaitu sekitar lima, sehingga bersifat sangat lembut saat membersihkan kulit. Oleh karena itu, aman jika digunakan oleh kamu yang berkulit sensitif. 3. Wardah Essential Facial Wash with Seaweed ExtractKulit yang sedang bruntusan biasanya terasa lebih kering, bahkan tak jarang menyebabkan rasa gatal dan kemerahannya. Untuk mengatasinya kamu jangan khawatir karena produk ini lengkap dengan seaweed extract yang bagus banget buat ngatasin jerawat. 4. Premiere Beaute Luminous White Glow Brightening Facial WashFacial wash ini memiliki pH balance yang sesuai dengan pH ideal kulit sehingga aman untuk kamu yang mengalami masalah beruntusan atau jerawat menghitam. Mengandung centella asiatica, flower extract dan chamomile yang sangat lembut sehingga efektif dan lembut untik kulit sensitif."
Bagaimana cara saya mengatasi wajah bruntusan?,"Hai temen-temen Kalau aku sih untuk mengatasi wajah bruntusan itu simple aja. Karena aku juga sering bruntusan apa lagi di dahi tp ga parah alias ga banyak, dan juga tipe kulit aku itu mudah bruntusan tp juga terbilang cukup mudah buat ngilanginnya. Tp ga pernah absen dengan bruntusan selalu ada, mulus bentar trus besoknya bruntusan lagi :). Ada ga sih yang sama kayak aku temen-temen ? Well jadi aku akan kasih tau produk skincare yang aku pake buat beruntusan dan gimana sih cara ngatasinnya.Rajin cuci muka, aku cuci muka pake Facial wash Acne Natural Care Complete White. Aku pake nya 2x sehari yaitu pagi setelah bangun tidur dan sore hari saat mau mandi. Dan aku juga sering cuci muka sebelum tidur (basahin muka) doang ga pake face wash.Kalau sehabis cuci muka atau habis mandi, itu wajah jangan pake handuk keringinnya kalau aku pakai tisu. Karena menurutku lebih bersih pakai tisu kalau untuk wajah.Pagi hari aku selalu pake Emina ms.pimple acne solution spot gel, di totolin ke bruntusannya.Malam hari saat mau tidur pakai serum Anti Acne Hanasui, kalau ga pakai Emina Aqua Infused Sleeping Mask. Kalau aku sih pakainya diselingin, kalau malam ini pakai anti acne berarti besoknya pakai sleeping mask ga aku gabungin.Bruntusan itu jangan di pegang-pegang biar ga makin banyak dan ga membekas. Lebih sulit ngilangin bekasnya dari pada bruntusannya :(Dan menurutku produk diatas yang aku gunain itu cocok banget di wajahku,buat ilangin bruntusan tp ga tau ya kalau di kalian karena skincare itu tergantung kulit masing-masing alias cocok-cocok an. Terimakasih :)"
Serum Ordinary manakah yang untuk menghilangkan bekas jerawat?,"Yang granactived retinoid, niacinamide, vit. C atau alpha arbutin."
Skincare apa yang ampuh untuk menghilangkan jerawat?,"Cerita sebelumnya baca disini ⬇️ Jawaban Auzi untuk Pernahkah kamu mengalami jerawatan parah di wajah? Bagaimana transformasinya hingga jerawat di wajahmu sembuh? 2021 Kondisi wajahku seperti ini 🔻Adalah tahun aku memulai untuk pelan-pelan memahami kondisi kulitku.Adalah tahun aku dikenalkan dengan serum Niacinamide Somethinc. My bestie yg pulang ke kampung halaman karna mau married lah yg kenalin produk Somethinc. Dia saat itu juga lagi coba skincare2 dan yaa dia emang keliatan lebih cerah dan sehat kulitnya.Singkat cerita keracunanlah pengen coba Niacinamide 5% Somethinc dan toner Pyunkang Yul karna racun dia 😆Alhamdulillah cocok, perubahannya memang gk cepat. Untuk serum Niacinamide kelihatan hasilnya setelah 3 bulan pemakaian, ak habis 60ml yg 5% baru upgrade Niacinamide 10% Barier Serum Somethinc, rutin pakai malam dan pagi.Skincare di tahun 2021 yg aku pakai, Ket:Untuk yang bertanda centang hijau ✅ artinya produk masih ada dan dipakai.Untuk yang bertanda silang orange ✖️ artinya produk pernah dipakai tapi udah habis dan belum/gak repurchase.Semua skincare di foto, alhamdulillah cocok ♥️CLEANSERCOSRX Low pH Good Morning Gel Cleanser : First impression pakai ini, sabunnya lembut busanya sedang dan nyaman pas di aplikasikan ke wajah.GARNIER Micellar Water Biru : Menurutku walau cuma sunscreen harus tetap double cleansing, jadi ini deh pilihanku karna udah cocok aja sii.HADA LABO Cleansing Oil : Ini andalan kalau habis bepergian atau pake makeup, sebelumnya ak pake yg bentuk balm tapi pakai cleansing oil OK juga ternyat. Ingat! WAJIB DOUBLE CLEANSING.MOISTURIZERBENTON Aloe Propolis Soothing Gel : Moisturizer yg bentuknya gel, ringan dan cepat meresap, ini udah tube yang ke 3.BENTON Aloe BHA Skin Toner : Masih termasuk hydrating toner walau ada kandungan BHA tapi karna cuma 0,5% jadi aman dipakai tiap hari.BENTON Snail Bee High Content Essence : Ini dapat bonus karna beli beberapa produknya di official store via shopee. Pas ak cek ternyata tanggal kadaluarsanya tinggal 1 bulan lagi (pantesan jadi bonus 🙊). Tetap ak pakai sampai habis, alhamdulillah cocok, bagus buat melembabkan. Teksturnya gel agak lengket, tp masih OK dipake pagi hari.N'PURE Centella Asiatica Toner : nah kenapa gk repurchase toner BENTON, karna kurang melembabkan di kulitku yg rasa2nya dehidrasi dari dalam. Jadi coba toner N'PURE ini dan cocok.SERUMSOMETHINC Niacinamide : brand inilah yg punya positioning kuat di aku. Serum drugstore pertama yg kucoba, cocok dan jadi andalan. Awalnya ak mikir, serum ini ngefek gk siih. Karna niacinamide gk bisa yg 1–2 kali pake keliahatan hasilnya, untung ak punya foto before sebelum pakai dan pas liat foto itu baru sadar. Ooo… ternyata ada efeknya tapi pelan-pelan. Makanya ak tetap pakai dan upgrade ke yg 10% setelah 3 bulan, dan pas upgrade itu baru terasa efek mencerahkannya. Dari sinilah ak percaya lagi sama skincare, mulai cari-cari apa lagi yg kubutuhin sampai semua yg ak pake saat ini. Kalau mau cari serum apa aja pasti ak selaku bandingin sama produk SOMETHINC dari sisi ingredients dan kebutuhan kulit baru bisa memutuskan apa yg dipilih.SOMETHINC Bakuchiol Skinpair Oil Serum : serum kedua dari SOMETHINC yg kucoba, karna bakuchiol di klaim punya efek seperti retinol tapi jauh lebih gentle. Bagus untuk jerawat, bekasnya dan melembabkan kulit. Ak pake ini malam aja karna teksturnya yg oily. Biasanya 5 tetes bakuchiol ak campur dengan BENTON Aloe Gel jadi kayak sleeping mask. Paginya muka jadi lebih plumpy.SOMETHINC Hyaluronic B5 : karena ak merasa kulitku itu dehidrasi jadilah pengen coba ini. Produk yg tugasnya khusus buat melembabkan. Pakainya pagi dan malam hari, baguus dan ak cocok cuma belum repurchase aja karna mau coba yg lain.SOMETHINC Salmon DNA + Marine Collagen Elixir : diawal kemunculan kan sempat heboh yaa, katanya bisa memberi efek kayak botox memperbaiki tekstur kulit dan sebagainya. Naahh keracunan deeh pengen coba, sapatau bisa mengurangi bopeng yekan 😆. Walau ak tau kalau bopeng gk bisa hilang 100% cuma dengan skincare, harus dengan bantuan tindakan medis. Suprisingly memang kayak ada efeknya gitu hhaha, paginya keliatan tekstur kulitnya lebih berisi tapi pas ak cari tau bopeng itu bisa terlihat samar jika kulit wajah lembab, mangkanya bopeng bisa terlihat samar.AXIS-Y Artichoke Intensive Skin Barrier Ampoule : salah satu brand Korea yg juga dapat kepercayaanku 😆 karena sebelumnya suka sama masker mereka. Pilih coba ini setelah menimbang mau repurchase SOMETHINC Hyaluronic apa coba ini dan diputuskan coba AXIS-Y Ampoule karena: branding AXIS-Y kuat banget sii, pilihan skincarenya disesusaikan dengan iklim, ingredientsnya natural dan terfokus (formula 6+1+1). Juga karena ada kandungan Centella Asiatica yg bisa dipake bersamaan dengan serum Niacinamide, trus juga bagus untuk barrier kulit dan melembabkan, nah menang banyak kan kalau di compare sama SOMETHINC Hyaluronic berdasarkan kebutuhan kulitku, dan alhamdulillah cocok (baru awal Desember ini cobanya).EXFOLIATORAVOSKIN Miraculous Refining Toner & Serum : dua produk ini ak coba karena kakak dan adekku cocok dan pas ak cobain juga cocok yaudah deh jadi ikutan. Disisi lain, kulit juga butuh eksfoliasi supaya mengangkat sel kulit mati dan merangsang sel kulit baru. Btw, 2 produk itu ak bagi 2 sama adekku dan belum habis-habis entah udah berapa bulan ☺️. Sebelumnya aku pake 2x seminggu, tapi karena ada produk2 lain jadi sekarang cuma 1x seminggu.N'PURE CICA Clear Pad : pengen coba ini karena penasaran aja, ternyata bagus kok dan juga karena gak mengandung alkohol.SKIN GAME Pore Armor : brand yang unik siih ini dari segi nama, packaging dan produk2nya ternyata bagus (walau baru coba beberapa aja 😅). Fungsinya untuk mengangkat komedo dan yaa it's work 👍.MASKAXIS-Y New Skin Resolution Gel Mask : produk pertama AXIS-Y yg kucoba karna di klaim untuk melembabkan kulit dan ternyata yaapps bagus bgt buat melembabkan muka, setelah pemakaian terasa siih lembabnya.AXIS-Y Mugwort Pore Clarifying Wash Off Pack : setelah AXIS-Y Gel Mask habis pengen coba yang Clay Mask karena klaimnya bisa membersihkan pori-pori daan yaa lagi-lagii baguss dong clay masknya dipemakaian pertama juga udah terasa, habis pake ini langsung masuk night skincare berasa sebagai opening yg bagus buat menyerap manfaat2 baik skincare, gk heran kenapa sempat viral 👏. Aku pake ini cuma 1x seminggu atau kalau dibutuhkan aja, soalnya tipe clay mask gini bisa bikin mukaku makin kering.SATURDAY LOOKS Peel Off Mask With Vitamin C : menurutku inii juara umum buat kategori peel off mask 🏆. Setelah pemakaian paling gampang di peel off, pake tipis juga masih ok buat di peel offnya. Bantu juga buat booster mencerahkan. Sekarang lagi habis produknya.SKIN GAME Pink Hero Clay Mask : padahal dari awal udah tau kalau ini gk direkomendasikan buat kulit kering tapi tetap aja beli, dasyar akuu🤔. Pas awal pake se-muka waduuh kulitnya jadi kering gersang karena itu ak pakenya cuma di bagian yg ada jerawat aja, 15 menit bilas.ACNE SAFEBLESS Acne Face Powder : ak pake yg shade natural, bedak tabur yg diformulasikan untuk kulit berjerawat, cocok.SKIN GAME Acne Warrior : ini dia prajurit andalan kalau lagi ada jerawat, teksturnya mirip clay masknya tapi lebih padat dikit, dipakai malam hari.SUNSCREEN Sebelumnya pernah pakai SC Joylab yg warna Orange dan Hijau, cocok tapi gk suka karna ada white castnya dan terasa sedikit berat. Pernah juga coba SC Biore Aqua Rich tapi gk suka karena ada alkoholnya.AZARINE Hydrasoote Sunscreen Gel : penasaran karna hype dan kaget siih, gk kayak pake sunscreen, gel watery yg kalau kena kipas jadi dingin adem gitu lebih kayak pake moisturizer. Banyak yg review ketahanannya kurang untuk outdoor dan kurasa emang iya, jadi ak pake ini pas indoor aja.L'OREAL UV DEFENDER Matte & Fresh : bagus, cocok. Finishnya menurutku gak matte, lebih ke satin finish.Aku bersyukur banget ada perubahan sedikit demi sedikit 🥰. Aku semakin rajin cari2 info tentang kulit, skincare dan jerawat bermodalkan internet dan youtube, tentang basic skincare dan skin barrier. Okeey, udah untuk bahas produk skincare. Semua itu juga bertahap ak cobanya 1–1 dan alhamdulillah sebagian besar cocok. Untuk pemakaiannya juga di sesuaikan, kalau ak dibikinin jadwal buat night skincarenya. Selain dari skincare ak juga usahain minum air yang cukup, minimal 2 liter/hari. Di bulan ke 7 aku coba barengin dengan minum propolis, supaya bantu penyembuhan dari dalam.Dalam prosesnya aku juga kepikiran:""kenapa ya jerawatnya selalu muncul?"", ""belum lama bekas jerawat sebelumnya hilang, eh muncul jerawat baru"". datang > pergi > meninggalkan bekasDisini aku pelan-pelan buat memahami sebab bukan hanya dari masalah fisik aja. Aku pernah dengar kajian kalau masalah atau penyakit yang terjadi pada diri kita bisa disebabkan oleh dosa dan kesalahan kita sendiri. Aku mulai untuk sedikit demi sedikit memperbaiki hubungan dengan Allah SWT yang Maha Penyembuh.Pertama perbanyak istighfar memohon ampun untuk dosa2 kelalaian dan kesalahan yang udah dilakukan selama ini.Kedua aku ikhlas atas keadaanku saat lalu dan sekarang.Ketiga perbaiki ibadah wajib dan sunnah.Keempat aku berusaha untuk selalu melibatkan Allah dalam setiap ikhtiar kesembuhan. Sebelum pake skincare baca bismillah, sholawat dan meminta kesembuhan dari-Nya melalui perantara obat/skincare yang sedang digunakan.Apa hal-hal yang buat aku kuat untuk melewati prosesnya?Karena Allah yang Maha Menguatkan.Karena lingkungan dan orang2 sekitar, bersyukur bangeett ada di lingkungan yg positif. Karena gk sedikit yg aku baca/tau kalau malah orang terdekatlah yang bisa menjatuhkan secara mental.Kalimat yang aku yakini :Allah gk akan menguji hambanya diluar batas sanggup dan kemampuan. Berarti Allah nilai aku mampu buat jalaninnya. ""Gak apapa Zah :) mungkin ini cara Allah jaga kamu"". Ini progress dari bulan ke bulan. Yaa ON/OFF gitu    Kenapa aku banyak foto dokumentasi dari breakout sampai sekarang?Dulu memang sengaja dokumentasiin karena pengen liat progressnya kelak, dan juga supaya ak di masa depan bisa rewind kondisi wajahku yang dulu dan bersyukur dengan kondisi saat ini, menguatkan diri kalau udah pernah lewati saat sulit jadi apapun kondisi sekarang aku pasti bisa :) Tersimpan rapi di privacy folder 😄Aku yg sekarang udah baik-baik aja. Ibarat kertas, gak semuanya mulus. Ada juga kertas bertekstur, emboss dan motif yang disukai banyak orang 🤗🌹 With or without acne i'm worthy.Thanks untuk para readers, buat support dan doa baiknya. Semoga Allah yg membalas dengan sabaik-baik balasan, aamiin yarabbal'alamiin ♥️Edit 17/12/21 watermark foto"
Bagaimana cara mengobati bopeng di wajah dan benar-benar berhasil?,"Maaf, tidak ada pengobatan apapun, gunakan make-up natural look saja."
