question,answer
Apa sisi terang dari seorang PSK?,"Saya punya seorang teman yang tinggal di pulau pedalaman di sekitar Batam. Dia keturunan Tionghoa. Teman saya ini adalah seorang perempuan yang cantik. Matanya besar. Pinggang langsing namun pantat lebar. Kulit putih mulus. Wajahnya seperti Nia Ramadhani. Saya kenal dia dari teman saya yang merupakan sahabat dia. Waktu pertama kali bertemu dia saya sangat terpesona dan merasa seperti bertemu artis. Hingga akhirnya saya ditumpangkan oleh teman saya di apartemen dia. Apartemen mewah dengan fasilitas lengkap tentunya. Oh iya saya lupa menceritakan bahwa dia pergi merantau ke kota Batam bersama keluarganya. Awalnya mereka hanya menyewa kontrakan kecil dengan anggota keluarga berjumlah 10 orang. Dia punya 2 kakak yang sudah menikah dan punya anak namun tetap tinggal di kontrakan tersebut. Dia juga punya satu orang adek. Papanya adalah seorang nelayan. Hanya pulang sekali seminggu. Selanjutnya kita panggil saja dia Riana. Riana ini hanya tamatan SMP. Dia merantau ke Batam bersama keluarganya di usia 15 tahun. Waktu itu kulitnya masih gelap. Istilah mereka waktu itu 'Cina pulau' bagi mereka yang berkulit gelap. Meskipun belum secantik sekarang dia tetap ada postur yang menarik. Oh iya tidak lupa semangat juang yang tinggi untuk menjadi orang kaya. Karena tidak punya ijazah, Riana remaja kehilangan akal bisa bekerja di mana. Karena PT di Batam pun membutuhkan pelamar dengan minimal berijazah SMA/SLTA sederajat. Riana remaja yang waktu itu bermodal yamaha mio sibuk mondar mandir kesana kemari setiap hari. Hingga akhirnya dia menemukan tempatnya. Sebuah tempat dugem yang menawari pekerjaan menemani orang yang dugem di dalam room. Beda tempat dugem dengan bar adalah, tempat dugem di Batam tersebut memang khusus bagi orang yang mengkonsumsi inex, narkotika yang jika dikonsumsi sebanyak 1 butir akan membuat Anda tidak bisa berhenti berjoget. Nah Riana bertugas menemani pria pria di dalam room tersebut. Singkat cerita dari room tersebut akan ada kesepakatan akan berlanjut hingga check in ke hotel atau tidak. Dari sana lah asal mula perjalanan Riana menjadi seorang PSK. Hanya dibayar 300k untuk satu sesi ST(short time). Jika LT (long time) dan sedang beruntung maka bisa mengantongi 1 juta dalam semalam. Riana ketagihan dan berganti-ganti pelanggan setiap malam. Bahkan kadang Riana bisnis menjual kembali inex yang diberikan oleh ""teman"" dugem nya tersebut. Riana dapat mengantongi sekitar 10 juta dalam sebulan. Pelan-pelan Riana mulai merawat diri dan terlihat lebih bersih. Karena fisik yang semakin cantik Riana mulai dilirik oleh yang lebih berduit. Begitulah perjalanan Riana hingga akhirnya dia dapat memindahkan keluarganya ke kontrakan yang lebih luas. Hingga suatu hari Riana bertemu Koko dari Malaysia (di Batam banyak orang Singapura dan Malaysia yang datang). Koko ini akhirnya menjadikan Riana simpanan. Dari sini lah kejayaan Riana dimulai. Hingga sekarang Riana masih menjadi simpanan Kokonya. Riana punya apartemen di Malaysia dan Batam. Riana sekarang sudah punya mobil dan membelikan rumah untuk orang tuanya. Riana juga menyekolahkan adiknya. Yap. Riana yang bertanggung jawab penuh terhadap keluarganya karena anggota keluarga yang lain tidak secantik dan 'seberuntung ' dia. Riana juga punya toko di sebuah Mall yang paling besar di kota Batam. Sekarang semua orang hanya tahu Riana adalah seorang pengusaha muda yang sukses. Oh iya orang tua Riana malah sudah menikahkan Riana dengan Koko (katanya secara cina). Saya tidak mengerti detailnya. Koko sudah beristri. Itu bukan pernikahan legal secara hukum. Hanya antar keluarga katanya. Intinya Riana didukung oleh keluarga besarnya. Saat saya bersama Riana hari hari yang saya lewati adalah makan di restoran mewah, jalan jalan di Mall, cek toko (Riana punya karyawan), menemani Riana berpacaran (Riana punya pacar ganteng, bukan Koko), membantu Riana memasak (Riana ingin belajar memasak demi pacarnya), mondar-mandir dengan mobil mewah ke rumah teman-teman atau hanya sekedar creambath ke salon. Oh iya mengenai perawatan Riana. Dia melakukan lulur, suntik pemutih, meni pedi, eyelashes extension, sulam alis (ini hanya sekali 6 bulan), pijit aura, totok wajah, kontrol gigi, body lotion seharga 6 juta dan produk perawatan lain yang mahal mahal dia beli di Singapura. Semua ini adalah sisi terang. Saya sempat iri. Rasanya kok gampang sekali ya :) Tapi setelah menumpang hidup dengan dia selama 14 hari, ada satu yang dapat saya simpulkan. Dia tidak bahagia! There is sorrow in her eyes. Ketika saya bangun tidur dia masih main HP. Dia selalu mengaku insomnia. Dia awalnya tidak mau bercerita kepada saya. Saya pun tidak memaksa. Toh saya ini cuma teman sahabat dia (awalnya). Hingga akhirnya dia terisak menangis. Dia tidak dicintai. Bahkan oleh keluarganya. Dia merasakan perasaan kosong. Dia sadar dia tidak dicintai oleh siapapun bahkan Kokonya. Jika Riana sakit dan tidak dapat 'melayani' Kokonya maka Koko akan dengan mudah mencari wanita lain. Apa yang dirasa cinta oleh Koko itu sekarang hanyalah kebutuhan seks. Koko mengaku cinta namun faktanya tidak. Pacarnya? Haha tidak perlu saya jelaskan panjang lebar. Pacar mana yang rela wanitanya jadi simpanan pria lain? Kecuali ada motif ingin uang Riana. Yap. Riana tahu itu. Uang Riana banyak habis untuk pacar gantengnya ini. Keluarga? Keluarga mana yang rela menjual anaknya. Yang setiap bulan menelpon hanya meminta uang. Keluarganya sudah mengikhlaskan Riana menjadi manusia yang rusak. Keluarganya sudah mentumbalkan Riana. Saat saya tanya dari mana Riana tahu, katanya Mamanya sendiri yang berkata langsung seperti itu. Riana sangat menderita. Percayalah :)"
Apa sisi gelap menjadi seorang istri?,"kebetulan saya belum mempunyai suami, saya tidak bisa menjawabnya. Tapi, saya pernah melihat dengan mata kepala saya, seorang istri yang berselingkuh di belakang suami namun tetap menjaga perasaan suami, sedikit gila menurut saya"
Bagaimana rasanya memiliki payudara besar?,"Tolong cowo ga usah baca ya! Ini topik kaum hawa yang saling sharing. Edit: tulisan ini jangan di salah artikan sebagai body shaming ke perempuan berdada besar, berdada sedang, atau berdada kecil ya. Kalau merasa ada pihak yang tersinggung ya mohon maaf tidak ada niat kesana sama sekali. Kan hanya sharing. Yang gampang ngegas mending out aja bund. Nano nano rasanya Susah cari bra yang pas. Lingkar dada cocok untuk ukuran *sensor* tapi cupnya ga cukup. Giliran cari sesuai cup eeeh lingkar dadanya kegedean. Pas di pake jadi longgar risih. Paling males kalo sesi beli bra. Malu dll. Insecure. Yup, bener banget. Saya muslimah jadi harus pake kerudung yang nutupi dada. Pake baju yang gombyor biar bokong ga terbaca jelas. Pake outer buat siasati lekuk tubuh. Sampe beberapa temen notice""Dadanya vida gede loh aslinya tapi dia tutupi."" ""Sini sini mana gw liat"" ""Lu enak dada lu gede. Nah gw.. ""Ga bisa pake bra busa tebal. Dari kecil emak ane ga pernah beliin bra yang ada busanya ya karena gen dari embah-embah yang dadanya besar tapi ga super besar juga sih. Jadi emak ane selalu bilangKalo pake yang busa itu makin gede. Mau ngapain? Punyamu kan udah gede. Ga butuh busa. Iya kalo punyamu kecil.Ketika dewasa aku belajar bahwa adanya busa biar nipple tidak menjendul menjiplak wer wer gitu. Dan aku beli yang pake busa lah biar aman. Tapi busanya yang wajar wajar aja. Sakit punggung? Hmm, entah ya aku ga terlalu peduli soal itu. Karena badan emang dari sononya udah gampang pegel. Pinggang sakit bla bla bla. Motoran di geronjalan bikin sakit. Goncangan motor beda sama goncangan mobil. Pas geronjalan atau pas polisi tidur yang kecil-kecil tapi jejer banyak itu.. Aduuuuuuuh itu paling ku benci. Sakit banget. Apalagi ketika datang bulan. Harusnya olahraga untuk mengencangkan otot dada tapi.. Yah.. Naluri malasnya lebih gede. Sesi foto berdempetan. Asli ini takut menyenggolkan My Samantha and Rachel ke lengan orang lain. Walaupun orang itu cewe ya. Tetep ga nyaman. Akupun demikian kalo lengenku berdempetan sama dada temanku ya gimana gitu tapi di bawa becanda sih namanya juga cewe2 kumpul. Merasa ga aman kalo ada tangan yang mendekat ke area depan. Bukan apa apa nih ya cuma takut gampang kesenggol. Soalnya jarak pandangnya dekat bruh. Hanya beberapa senti disaat cewe2 lain jaraknya jauh. Semoga maksudku ini paham😅 Sering bungkuk & gak bisa nyaman tegapin punggung di depan umum. Ntar dikira nantangin🥲 padahal karena bungkuk terus ya sakit kan. Eh apa ini ya yang namanya sakit punggung karena dada gede??? Itu hanya yang paling aku ingat sih. Tapi positifnya punya dada gede adalahGa khawatir pendapat calon pasangan nanti gimanaGa butuh operasi atau tambah2 silikon macam apalah ituMerasa jadi cewe beneranGa terlalu khawatir gimana nanti ASI buat anak. Edit: sumber dari salah satu perempuan dengan dada kecil dan beliau merasa ASI ga banyak sedangkan perempuan yang dada sedang produksi ASI ga membuat beliau stress. Jangan tersinggung ya! Dibawa fun aja. Dan tak ada bukti karena itu privasi.Semuanya nyata asli tanpa permakJadi buat hiburan diri sendiri. Kok bisa? Ini sebenernya kejadian yang ga di sengaja. Pas lagi mandi dan lagi ngambil sesuatu yang jatuh alhasil nungg*ng dong. Eh, tampak keduanya seperti buah pepaya. Sumpah lucu banget. Selama ini ga pernah percaya ketika payudara itu di gambarkan seperti buah pepaya. Ketika momen itu terjadi langsung percaya banget"
Apa sisi kelam dari seorang yang memiliki pasangan hypersex?,"Saya tidak pernah mempunyai pasangan yang hypersex rata rata saya menaklukkan mereka semua namun sayapun disini tidak menggap diri saya hyper sex karna saya biasa saja kok tidak menggebu2 ,kebetulan Forplay saya yg mmg lumayan hehe,"
Apa sisi gelap pondok pesantren?,"Saya akan cerita kisah Bapak saya yang merupakan alumnus (alumni tidak lulus) dari sebuah pesantren yg terkenal di Pulau Jawa. Bapak saya masuk ke pesantren tsb sejak lulus SD. Di pesantren, dia mulai menemukan jati dirinya dan menjalani hidup dengan baik. Bisa dibilang Bapak saya merupakan orang yang berprestasi di pesantren tsb sehingga saat kelas 5 (2 SMA) dia terpilih sbg ketua OPP (organisasi pelajar pondok, mirip osis). Namun, di tahun kelimanya menjadi santri, pesantren mengalami kemunduran. Figur kyiai tidak nampak, guru banyak yg malas mengajar hanya sedikit yg aktif, anak kyiai semena², pokoknya kacau tidak terurus. Tulisan yg saya bold dan italic di atas merupakan awal dari kisah ini. Kebrengsekkan anak kyiai pesantren tsb sudah menjadi rahasia umum di pesantren. Saya tidak tahu persis bagaimana kelakuan nakalnya, cuma 1 yg saya tahu yg paling fatal yaitu suka mengajak santriwati berpacaran bahkan hingga tidur bersama. Tidak hanya 1 orang, dia bahkan bisa memacari lebih dari 1 orang dlm waktu yg bersamaan. Tidak ada yang berani melaporkan kelakuan anak kyiai ini ke pihak ustadz pengasuh. Kemunduran pesantren ini juga terlihat dari jumlah santri yg kian menurun.. Bapak saya yang saat itu menjabat sebagai ketua opp ini geram dengan kelakuan anak kyiai tersebut. Hingga di suatu malam, Bapak saya mendapati anak kyiai beserta pacarnya tidur bersama di asrama. Bapak saya mengabadikan momen tsb dengan memfoto mereka lalu menyebarkan foto mereka ke alumni pesantren ini di seluruh penjuru. Dengan cepat beritanya menyebar luas hingga sampai ke telinga kyiai. Kyiai sangat marah dengan apa yang bapak saya lakukan dan pada saat yang bersamaan tidak menyangka dengan apa yg anaknya lakukan. Kyiai juga sempat terkena serangan jantung saat mengetahui aib ini. Tapi ya namanya orang tua pasti ingin melindungi anaknya. Setidaknya, kejadian ini berdampak pd bbrp hal.Anak kyiai tsb akhirnya dinikahkan dgn wanita yg saat itu difoto. Mereka menjadi suami istri dan memiliki bbrp anak. Saat ini keluarga merekalah yg mengelola pesantren. Bisa dibilang, pernikahan ini tidak akan terjadi jika Bapak saya tidak menyebarkan fotonya. Semua santriwati yg pernah berhubungan dgn anak kyiai tsb benar² tidak berdaya untuk meminta pertanggungjawaban anak kyiai.Jumlah santri yg asalnya ribuan menjadi ratusan karena insiden memalukan ini. Apa yg dilakukan Bapak saya benar² merugikan pesantren.Bapak saya ditampar oleh adik kyiai dan meninggalkan bekas luka (hidungnya bengkok) di hidung Bapak saya hingga saat ini. Akhirnya, Bapak saya diusir dr pesantren di tahun kelimanya dan disumpahi oleh Kyiai tidak akan pernah merasa damai.Tak lama setelah kejadian, kyiai terkena serangan jantung dan akhirnya meninggal. Beliau benar² terluka atas kejadian ini.Kejadian ini sudah terjadi sekitar 30 tahunan yang lalu. Hingga saat ini, Bapak masih berhubungan baik dgn para alumni, baik di atas atau di bawah angkatannya. Bahkan, Bapak pernah menjadi ketua reuni alumni di pesantren tsb bbrp tahun lalu. Bagaimana hubungan dengan anak kyiai? Ya, dari luar mereka terlihat berhubungan baik, mengobrol saat bertemu, dsb. Tetapi pasti menyimpan dendam di tiap pihak. Saya sendiri mendengar cerita ini langsung dr Bapak saat saya SD. Saya diceritakan ini karena Ibu saya menolak usulan Bapak saya untuk disekolahkan di pesantren ini. Wkwkwkwkkwk ga kebayang gimana jadinya klo saya disekolahkan di sini.. Kakak saya sendiri juga pernah mengalami hal yg membuatnya yakin bahwa keluarga anak kyiai masih dendam dgn bapak saya. Saat Bapak saya menjadi ketua reuni, kakak saya ditugaskan untuk mendokumentasi kegiatan. Lalu kakak saya berkenalan dengan anak dari anak kyiai tersebut. Awalnya sangat akrab, dan tentu saja kakak saya tidak menceritakan bahwa dia anak bapak yg menyebarkan foto aib kedua orang tuanya. Bbrp hari kemudian, anak dr anak kyiai tersebut menjauhi kakak saya dan cuek saat bertemu. Bagaimana Bapak saya saat ini? Sebenarnya dia menjalani kehidupan yg bisa dibilang baik. Kami hidup lebih dr cukup, bahkan punya usaha yang sukses. Namun, tentu saja ada kekurangan dlm hidup kami. Ingat yg dilakukan alm. Kyiai saat mengusir Bapak saya dr pesantren? Ya, beliau menyumpahi Bapak saya tidak akan merasa damai dalam hidup. Bapak saya selalu hidup dalam gelisah. Beliau sangat takut ketika tidak mendapat uang, takut ketika sakit, takut ketika tidak berdaya. Hal ini juga saya lihat setelah bbrp tahun terakhir saat Ayah saya mulai sakit. Sebenarnya, karakter Bapak saya dipengaruhi oleh banyak faktor lain, tp kejadian ini juga memiliki peran besar dlm hidup Bapak saya. Saya pernah berpikir apa yg Ayah saya lakukan benar² keren karena membongkar sisi gelap pesantren berupa kebrengsekkan anak kyiai dengan cara yg benar² membuat mereka malu. Tapi, akhir² ini, setelah dipikir kembali, hal ini juga benar² merugikan Bapak saya, apalagi Pak Kyiai meninggal dalam kondisi marah dan tidak memaafkan Bapak saya. Entah kenapa, saya sering merasa Bapak saya sering merasa tidak tenang karena disumpahi Kyiai karena kejadian ini. Tapi, Allah yang lebih tau atas segalanya. Saya tidak akan menyebutkan nama pesantrennya karena takut akan menimbulkan masalah, mohon pengertiannya. Namun, saya bisa memberi hint bahwa pesantren ini pernah dijadikan latar syuting film yang terkenal bbrp tahun lalu."
Apakah sisi gelap memiliki media sosial?,"Orang bisa dengan mudah melacak kehidupan kita. Setelah kita sebut nama kita setelah pertemuan, orang-orang bisa dengan leluasa mencari kehidupan maya kita seperti apa. Mengetik nama kita dan kombinasinya di fb, ig, twitter yang kalo kita punya dan nama kita nggak alay mudah ketemu. Tidak sedikit lho setelah melihat profil medsos terus langsung males kenal lebih jauh. Mungkin illfeel karena pas ketemu pendiam, tapi di dumay doyan selpi padahal cowok.Diperbudak Handphone. Seperti sudah tersetting di otak kalo pegang hape gak boleh enggak pasti buka medsos meski gak ada notif."
Apa sisi gelap dari seorang dokter?,"Ini berkaitan dengan sesuatu yang dipegang teguh oleh dokter, berjanji untuk menolong dan menyelamatkan nyawa orang. namun,bagaimana jika yang mereka lakukan adalah sebaliknya,pasti kamu menebaknya? Malpraktik? Bukan. kakak saya adalah seorang lulusan S1 keperawatan,setelah sekian lama berpindah akhirnya dia menetap di salah satu rumah sakit swasta di Jawa Barat. Namun,pengalaman menjadi perawat layaknya Batman dan Robin,dia menjadi tahu betul seluk-beluknya kedokteran , literally. Mulai dari yang kuranv kompeten,nepotis,kolusi,ketidakadilan dan 'kesembronoan' dokter yang tidak profesional. baik,jadi pada suatu waktu ada pasien dari dokter X,yang merupakan dokter kandungan. Kejadiannya pada saat itu adalah ibu yang mengandung tersebut mengalami kesulitan untuk mengeluarkan kepala si bayi,alhasil dokter pun menariknya menggunakanseperti ini alatnya, they call it 'vakum' okey,kejadiannya adalah sidokter ini menarik kepala sang bayi sampai keluar namun secara kasar,hingga akhirnya bayi tersebut mengalami cedera patah leher,as the result? of course dead. namun,yang menjadi masalah adalah dokter tidak berkata jujur kepada ibunya dan seharusnya menurut kakak saya yang terjadi berikutnya adalah sang ibu tak harus bayar biaya semuanya,namun yang terjadi terbalik. and 1 more cerita ini selalu membuat saya panas dan rasanya ingin marah sekali. oke,jadi dokter ini merupakan dokter spesialis jantung (?) entah,sepertinya itu yang diceritakan keluh kesah kakak saya,saya tak tahu apa-apa mengenai kedokteran anda tahu ring jantung? ya,kira-kira harganya kisaran seginiSumber : Google apa yang terjadi? jadi,kisahnya seperti ini,pasien dokter Y mengalami penyakit jantung yang mengharuskan pemasangan ring,entah apa yang dipikirkan dokter ini namun,sebenarnya pemasangan ring untuk pasien ini hanya 1 saja namun,dokter ini bilangnya butuh lebih dari satu entah 3 entah berapa,saya agak lupa. intinya,sang dokter bilang ke kakak saya ""lumayan kan…. "" fyi : kakak saya walaupun perawat dia tidak memiliki jabatan fungsional sebagaimana gelar pendidikannya,dia bekerja di bidang kepala bidang asuransi. tentu saja pemasangan ring tersebut memakan biaya yang sangat mahal tentunya. bisa sampai ratusan juta,namun karena si pasien orang kaya maka,dokter memanfaatkan situasi. IDK,HOW MANY trick ass doctor like this(?) apakah sebegitunya pentingnya uang,DOK(?) who can i trust now,dukun? ha? entah semenjak saya belajar dari pengalaman kakak saya,saya mulai mengerti bahwa dokter juga manusia,dan dokter juga perlu kita waspadai,juga siapapun itu. remember Russian proverb ""Trust but verify"" percaya namun,harus ada bukti. that goddamn right. in the end,kakak saya pindah di rumkit yang lain,namun tetap ada kok kelicikan2 lainnya."
Apa sisi gelap dari seorang PSK yang tarif semalamnya lebih dari 5 juta rupiah?,Sebuah perjalanan pasti ada pemberhentian.setinggi tinggi burung terbang pasti akan hinggap juga.di saat masih derasnya air yang mengalir pintar2lah menampung air itu karena semua tidak ada yang abadi.bersikaplah bijak di saat matahari masih bersinar terang .
Apa sisi liar istrimu yang tidak kamu tahu sebelum menikah?,"Jatuh sakit berminggu-minggu karena putus dengan mantannya, putus karena ibunya mengeluarkan kata-kata yang melukai hati si mantan dan keluarganya. Istri saat itu sempat berniat bunuh diri dengan meminum semua obat dan berharap mati. Sekian tahun kemudian berkenalan dengan seorang pria yang telah menikah dan kehilangan keperawanan dan lari sekian bulan dengan pria itu, membantah telah menikah siri meski udah sempat berbusana dan melakukan ritual agama lain. 14 tahun menikah dengan saya ia mengaku menikah karena saya adalah pilihan terbaiknya saat itu dibanding pria lain yang mendekatinya. Jadi bukan karena cinta."
"Sebagai perempuan, sisi gelap apa saja yang pernah kamu lakukan dengan pacar kamu?","Sebelumnya maaf kalo jawaban ini berantakan, karena ini jawaban pertama yang saya tulis di Qoura. Saya perempuan berumur 17th. Saya menjalani hubungan dengan seorang pria yang kira usianya diatas saya 1 tahun. Saya berpacaran dengan dengannya sudah 3,5 tahun. Awal pacaran, masih malu-malu seperti pasangan pada normalnya cuma mentok pengangan tangannya aja. Saat itu saya berada di lingkungan yang kalo lo gapernah ngapa²in sama cowo lo berarti lo ga keren. Saat itu lah saya bisa dibilang sedikit ""agresif"" ke pacar saya karena saya pengen terlihat keren dimata temen²saya. Pernah waktu di tempat sepi tbtb saya lgsg nyosor ke bibir pacar saya padahal sblmnya saya gapernah melakukan itu ke mantan²saya. Kalo ada mesin waktu buat kembali ke masa lalu ingin saya menampar diri saya yang mempunyai pikiran seperti itu. Pacar saya awalnya kaget, kaget banget. Pacar saya ga nyangka kalo saya seberani itu. *fyi, pacar saya ini sblm pcrn sama saya gprnh macem²sama mantannya bahkan kissing pun gapernah. Semenjak kejadian itu saya & pacar saya sering melakukan kissing. Dan suatu hari saya dibawa pacar saya krmhnya, dirumahnya sepi dan disana dia langsung menyomot bibir saya dan mulai berani meraba-raba dada saya, awalnya saya selalu menebas tangannya tapi entah ada angin apa saya memperbolehkan ia untuk meraba-raba dada saya. Waktu berlalu dan semakin lama hubungan kita semakin intim, sampai pada tahun ke 1,5 hubungan saya dengannya, saya dan dia melakukan hs. Saya melepas keperawanan saya diumur yang bisa dibilang terlalu muda, bahkan saat itu saya masih SMP. Iya saya memang terlalu bodoh sampai mau melakukan hal seperti itu. Saya melakukan hal tersebut karena saya sangat menyayanginya dan takut kehilangannya. Sebelum dia mengambil keperawanan saya, dia adalah sosok pria yang bisa dibilang ""good boy"" dia sangat perhatian, sangat menghargai saya, dan dulu dia takut sekali kalo saya marah mangkanya dulu dia nurut banget. Tapi setelah dia mengambil keperawanan saya dia menjadi sosok cowok yang seenaknya, dia mulai kasar ke saya. Bahkan pernah dia maki-maki saya di depan umum dan menonjok saya sampai mata saya bengkak sebelah. Dia juga mulai bermain curang di belakang saya, dia mulai berselingkuh. Saya pernah meminta putus darinya tapi dia mengancam saya untuk menyebarkan vidio saya saat hs dengan dia dan akan memberitau kedua orang tua saya kalo saya udah ga perawan. Bisa dibilang saya sedang berada di toxic relationship. Saya menyadari hubungan yang saya jalani dengan dia ini hanyalah racun, bahkan sampai sekarang saya masih tidak bisa keluar dari hubungan ini. Saya ingin keluar dari hubungan ini, sangat ingin. Tapi saya gabisa, pacar saya terus mengancam saya bahkan dia perna mengancam jika saya memutusinya ia akan bunuh diri. Dan disamping itu saya takut tidak ada lagi laki-laki yang bisa menerima saya karena keadaan saya yang sudah tidak suci. Buat semua yang membaca cerita saya. Saya sangat membutuhkan saran dan dukungan agar saya bisa terbebas dari hubungan yang toxic ini. Dan buat wanita yang membaca cerita saya jangan mengambil langkah yang salah seperti langkah saya yang hanya ingin terlihat keren dimata teman-teman saya. Selalu inget bahwa SEX DOESNT MAKE HIM STAY. Cukup saya aja yang bodoh, kalian jangan:)."
