question,answer
Mengapa dunia medis belum bisa menemukan obat yang benar benar bisa menyembuhkan penyakit kanker?,"Halo, apoteker di sini. Menemukan obat kanker yang one-size-fits-all itu sangat sulit karena sifat alamiah dari sel kanker itu sendiri.Kita sudah hidup berdampingan dengan kanker selama ribuan tahun. Deskripsi tertua tentang kanker yang diketahui tertulis dalam buku teks pembedahan sejak zaman Mesir Kuno, sekitar 3000 tahun SM (disebut Edwin Smith Papyrus). Buku ini menggambarkan 8 kasus tumor atau 'bopeng' pada payudara yang dibuang dengan alat yang disebut 'the fire drill'. Di buku itu tertulis “There is no treatment.”[1] Kanker juga bukan penyakit 'orang kaya' saja karena 70% kematian akibat kanker terjadi di negara berpendapatan rendah dan menengah.[2] Kanker bukanlah penyakit yang datang dari luar tubuh kita, tidak seperti penyakit infeksi yang disebabkan organisme 'asing' dari luar tubuh kita. Hampir semua penyakit yang datangnya dari dalam tubuh kita lebih sulit disembuhkan (contoh diabetes, hipertensi, gangguan metabolisme, dll). Sederhananya, ya karena sel-sel yang membawa penyakit ini adalah sel-sel yang dikenali sebagai penyusun tubuh kita sendiri. Sel-sel kanker memperbanyak diri dengan sangat masif. Jika sel normal tubuh hanya bisa 'hamil' 40–60x kemudian mati, maka sel kanker jauh lebih banyak dari itu dan umurnya jauh lebih panjang di bandingkan sel normal. Sel-sel kanker memiliki daya 'adaptasi' yang luar biasa. Mereka sangat mandiri (mampu tumbuh di situasi sulit), mampu berganti 'wajah' (mutasi) dengan cepat & berpindah tempat (metastasis) yang menyebabkan obat sulit memberantas sel kanker sampai benar-benar habis (resistensi sel kanker). Jadi sebenarnya manusia pada hakikatnya selalu berkejar-kejaran dengan kanker.Sebuah perbandingan[3] Salah satu hal yang paling penting dalam penanganan kanker adalah deteksi sedini mungkin sebelum sel kanker menyebar secara masif. Masalahnya, seringkali pasien baru datang saat kankernya sudah stadium III dan IV. Sel-sel kanker sudah keburu berkembang biak tak terkontrol. Memang tidak murni 'salah' si pasien. Otoritas berwenang sendiri juga tidak punya program edukasi dan screening dini kanker yang jelas dan diterapkan secara masif seperti di negara-negara lain (misalnya screening kanker serviks dan kolon). Sebenarnya ditanggung sih oleh BPJS, tapi saya tidak tahu efektivitas program screening ini (bahan penelitian nih. Hehe).Selain pembedahan/operasi dan radiasi, salah satu lini utama terapi kanker adalah kemoterapi konvensional. Sebagai analogi kemoterapi ini, anggaplah Anda adalah seorang sniper di keramaian. Diminta memburu komplotan teroris dengan ciri-ciri tato bergambar bom ukuran 5 cm di punggung karena dia akan memasang bom di pusat keramaian yang berpotensi meledakkan seluruh kota. Karena Anda berkejaran dengan waktu, jadi Anda memilih melemparkan bom ke keramaian untuk menghindari kematian seluruh penduduk kota walaupun harus mengorbankan satu kelurahan. Eh ternyata, tidak semuanya mati. Sebagian komplotan keburu kabur ke kota lain & ingin menjalankan misi yang sama. Obat kanker yang didesain bekerja lebih spesifik sesuai karakteristik dari masing-masing individu memang ada, dengan efek samping yang relatif lebih mudah ditoleransi. Namun, tentu saja untuk mengembangkan ini butuh sumber daya yang tidak sedikit dan waktu yang tidak sebentar yang pada akhirnya berpengaruh pada mahalnya biaya terapi. Kenapa sulit? Ya kembali lagi karena sifat sel kanker yang dinamis itu.SUmber: Precision Medicine in Cancer Treatment Terapi terkini yang sudah disetujui oleh FDA dan EMA (Badan POM-nya Amerika Serikat dan Uni Eropa) adalah terapi gen untuk leukemia dan limfoma (disebut tisagenlecleucel dengan merek dagang Kymriah dan Yescarta). Sederhananya, terapi ini bekerja dengan memanfaatkan sel darah putih si pasien (sel T) yang dimofikasi secara genetik (untuk memproduksi chimeric antigen receptor (CAR)) sehingga mampu mengenal sel kanker sebagai benda asing dan berbalik membunuh sel kanker dalam tubuh pasien itu sendiri. Berapa biayanya? USD 373–475 ribu atau IDR 5–7 milyar![4] Terjangkau? Tentu tidak bagi mayoritas manusia di bumi, bahkan bagi yang punya asuransi terlengkap sekalipun. Perlu lobi-lobi politik dan usaha bertahun-tahun agar biaya ini dapat diturunkan. Perjalanan menemukan obat bukan semata selesai sampai menemukan obatnya, tapi juga bagaimana memberikan kesempatan seluas mungkin bagi semua orang yang membutuhkan. Menurut saya pribadi, tidak ada obat yang lebih efektif untuk kanker, selain 'mengobati' diri kita sendiri dari 'penyakit' melakukan kebiasaan-kebiasaan yang membawa lebih banyak keburukan bagi tubuh kita di masa depan, seperti kanker. Terima kasih sudah membaca.Catatan Kaki[1] Early History of Cancer | American Cancer Society[2] Cancer[3] Cancer stem cell-targeted bio-imaging and chemotherapeutic perspective[4] Staggering Prices Slow Insurers’ Coverage Of CAR-T Cancer Therapy"
Apakah kanker dapat disembuhkan?,"Menurut salsa bisa disembuhkan -Ketika orang tersebut memiliki SEMANGAT untuk hidup yang tinggi -Kemudian perubahan gaya hidup lebih sehat -Menjauhi yang negatif - Mendapat dukungan dari orang-orang tersayang Tidak ada yang tidak mungkin didunia ini jika Tuhan sudah berkehendak maka terjadilah,karena penelitian sudah membuktikan bahwa memang pernah terjadi adanya … Sekian dan Terimakasih"
Mengapa pasien tertentu bisa sembuh dari penyakit kanker? Apa faktor dari keberhasilan itu?,"Pertanyaan ini susah untuk dijawab. Tentunya banyak faktor yang mempengaruhi tingkat keberhasilan atau kegagalan. Perbedaan individu pun berpengaruh, artinya dengan penyakit yang sama dan terapi yang sama, belum tentu memberikan hasil yang sama walaupun berdasarkan penelitian dari 100 orang yang mendapatkan terapi hanya sekitar 80 orang yang berhasil sempurna, artinya sekitar 20 orang tidak maksimal. Setiap jenis kanker pun juga memiliki respon yang berbeda-beda. Misalnya dengan terapi ada yang dengan radioterapi (penyinaran) ataupun dengan kemoterapi (obat-obatan), sensitivitas serta reaksi masing-masing penyakit juga tidaklah sama. Seandainya pun sembuh, tidak menutup kemungkinan akan kembali berulang lagi (relaps)."
Bagaimanakah cara mengobati kanker secara alami?,"Tidak mungkin, jangan anda dobohongi sehingga penyakit yang mungkin masih dapat desembuhkan karena buang waktu mencoba “pengobatan alami” baru kedokter ahli kanker sewaktu sudah terlambat, mati konyol…"
Apa pendapat anda mengenai akar tanaman Bajakah yang berasal dari Kalimantan Tengah yang bisa digunakan untuk menyembuhkan kanker payudara? Seperti apakah tanaman itu?,"Tidak ada bukti ilmiah, tidak ada penyelidikan yang membuktikan itu yang diterbitkan di jurnal medis yang terkenal. Apa yang diceritakan di Youtube itu entah benar atau tidak, siapa juga bisa bercerita kosong."
Apakah benar micin menjadi penyebab kanker?,"Pengalaman saya pribadi, ini efek jangka pendek. MSG mengakibatkan mual dan muntah jika kandungan msg dalam makanan melebihi batas dari porsi makanan itu sendiri. Contoh nyata, saya pernah beli french fries ala ala, bumbu dalam adonan crispy mengandung banyak msg alhasil. baru makan 4 batang sudah mual, pusing juga dan akhirnya muntah. Untuk jangka panjang mungkin ada yg bisa lebih menjelaskan berdasarkan pengalamannya. Oiya, mungkin jadi bego salah satunya…mungkin…"
Apakah LGBTQ+ bisa disembuhkan?,"Anda bangun besok pagi, dan tiba-tiba dunia menjadi terbalik. Manusia heteroseksual lah yang dianggap tidak normal. Apakah kita —si 'normal' yang tiba-tiba jadi non-normal— PERLU disembuhkan??Dalam dunia versi terbalik mencium, mencintai menikahi, berhubungan seksual dengan sesama jenis adalah NORMAL. Sebagai seorang heteroseksual, apa yang akan Anda lakukan?Bagaimana kalau inilah yang normal?[1].Apakah kita harus berubah demi mengikuti status quo? Kalau iya, bagaimana caranya supaya Anda dapat menjadi homoseksual atau LBTQ?Seperti itulah konsepnya kira-kira ☺️Catatan Kaki[1] My God, Help Me to Survive This Deadly Love - Wikipedia"
Apakah kanker benar benar bisa sembuh dengan pengobatan alternatif?,"Karena oengobatan alternatif belum pernah terbukti ada effek baik kepadakanker, jawaban ya TIDAK. Orang yang ngakunya sembuh setelah memakai pengobatan alternatif belum pernah terbukti (jadi bukan X foto saja, perlu pemeriksaan jaringen kanker), jadi bisa “sembuh”."
"Apakah benar obat-obatan herbal bisa menyembuhkan penyakit parah seperti kanker, tumor dan lainnya?","Kanker tak bisa disembuhkan, yang bisa disembuhkan adalah penyebabnya. Sel kanker adalah mekanisme alami sel tubuh manusia dalam merespon racun2 fisik maupun racun2 non fisik yaitu kondisi gangguan psikis akut yg menyebabkan aktifnya hormon2 tertentu. Jadi berusaha membunuh sel kanker sama saja dengan mengeluarkan racun yg sengaja diisolasi secara otomatis oleh sel2 tubuh kita agar tidak menyebar ke seluruh tubuh. Jadi apakah obat herbal bisa sembuhkan kanker? Tentu bisa. Bahkan sebagian kanker bisa hilang sendiri."
Bisakah kita menyembuhkan HPV?,"Adakah Cara Menghilangkan Virus HPV? Meskipun beberapa penyakit yang muncul akibat virus HPV dapat diobati, tetapi virus HPV sendiri tidak akan bisa dihilangkan dari tubuh."
