question,answer
Siapa pembunuh yang terlihai sepanjang masa?,"Kucing saya.. Dia membunuh setiap hewan kecil yang dijumpainya.. Paling sering adalah cicak dan kadal kecil kemudian juga ada kupu-kupu, belalang dan jangkrik.. fakta hewan - hewan kecil itu susah ditangkap manusia, tapi bagi Si kuning itu hal biasa, menunjukan betapa lihainya dia.. Di awal desember Si kuning menangkap ular pohon.. Setelah puas bermain-main dengan ular, si kuning mengeksekusinya lalu dijadikan santapan sore.."
Kejadian misterius apa yang sampai sekarang belum terungkap?,"Jam 06:30 pagi, 1 Desember 1948 di sebuah pantai Australia. Pria ini ditemukan dalam keadaan tak bernyawa…Dan tak bernama.Foto diatas adalah foto mayat pria ini tak lama setelah ia ditemukan. Berpakaian rapih duduk di tepi dinding pantai Somerton Park, Adelaide, Australia Selatan. Saksi mata mengatakan bahwa sejak kemarin, pada malam 30 November, mereka sudah melihat pria ini duduk terdiam di tempat yang sama. Saksi mata lainnya juga sempat melihat ia bergerak, menjulurkan tangannya, sekitar jam 7 malam di malam itu. Namun setelah itu ia terus terlihat terdiam mematung. Semua saksi mata menyangka ia mabuk lalu tertidur di tepi pantai.[Garis X merah, lokasi tempat ia ditemukan]Pagi itu tubuhnya ditemukan tanpa tanda nafas dan tanpa tanda identitas. Yang ada hanya secarik kertas bertuliskan:Tamám ShudDitemukan di kantong celananya.Tamám Shud adalah frasa bahasa Persia, yang kurang lebih berarti ""berakhir"". Dari informasi para pustakawan Australia, secarik kertas ini kemungkinan besar adalah sobekan dari buku puisi Rubaiyat oleh Omar Khayyam.[Buku Puisi Rubaiyat oleh Omar Khayyam]Tema puisi Rubaiyat ini adalah bahwa seseorang harus menjalani kehidupan sepenuh mungkin dan tidak menyesal ketika itu berakhir. Karena ini polisi juga semakin yakin menduga ini adalah kasus bunuh diri. Lalu, polisi dan massa melakukan pencarian buku puisi yang disobek ini. Pada akhirnya, buku dengan sobekan ini ditemukan oleh seseorang saksi anonim, tanpa keterangan jelas lebih lanjut yang diberikan ke publik oleh polisi. Di belakang buku itu terdapat tulisan tangan:[Tulisan tangan di belakang buku puisi Rubaiyat yang ditemukan tadi. Kemungkinan ini adalah kode rahasia]Penyebab kematiannya pun masih misteri. Menurut ahli patologi, pria dengan tinggi 180 sentimeter itu diperkirakan berusia sekitar 40-45 tahun dan berada dalam kondisi fisik yang prima. Ia diperkirakan meninggal pada jam 2 dini hari di hari yang sama ia ditemukan. Hasil autopsi tidak berhasil menemukan zat asing dalam tubuhnya.""I am quite convinced the death could not have been natural ... the poison I suggested was a barbiturate or a soluble hypnotic"" (Kesimpulan dari patologis yang melakukan autopsi)Pada 14 Januari 1949 di stasiun Adelaide. Ditemukan sebuah tas koper coklat tak berpemilik yang disimpan sejak siang hari pada 30 November 1948 (sehari sebelum pria itu ditemukan tak bernyawa). Di dalam tas itu ditemukan dasi dengan nama ""T. Keane"". Juga ditemukan ""Keane"" pada sebuah tas laundry dan ""Kean"" pada sebuah rompi. Nama-nama ini tertera dengan tanda laundry, kemungkinan adalah nama pemilik pakaian tadi yang didaftarkan untuk dry cleaning/laundry. Lalu dilakukan pencarian, tetapi tidak membuahkan hasil. Tidak ada satupun orang bernama T. Keane yang dilaporkan menghilang atau dicari di seluruh negara yang berbahasa Inggris (T. Keane adalah nama umum bahasa Inggris). Kemungkinan ini adalah red herring (petunjuk yang salah, malah mengalihkan perhatian). Kemungkinan itu bukan nama asli orang itu. Saat itu, pasca perang dunia, juga umum ketika membeli pakaian bekas masih ada tanda laundry dari pemilik sebelumnya. Tetapi polisi masih penasaran. Tas koper itu adalah tas yang dibuat di Amerika.Ada spekulasi yang kuat kalau ia adalah mata-mata. Mata-mata Amerika yang sedang menyelidiki riset Inggris-Australia. Di dekat area tersebut ada tambang uranium dan pusat penelitian militer. Ada yang berpendapat ia memang bukan siapa-siapa dan tidak ada yang mengakui keberadaannya. Ada yang berimajinasi kalau ia adalah pengelana waktu. Tetapi apapun itu, ia tetap ""tak bernama"". Siapapun nama aslinya, kini ia punya satu nama, ia dikenal sebagai:The Somerton ManSemua gambar diatas didapat dari Wikipedia. Tamam Shud case - Wikipedia Rubaiyat of Omar Khayyam - Wikipedia"
Apa misteri mengerikan (tidak harus yang paling terkenal atau paling menyeramkan) yang belum terpecahkan?,What are some of the most famous unsolved mysteries?
Apa sajakah misteri terkenal yang belum terpecahkan?,What are some of the most famous unsolved mysteries?
Apa saja misteri yang telah terungkap tetapi belum banyak orang yang tahu?,"Penyebab dibalik misteri Segitiga Bermuda yang mematikan Selama bertahun-tahun para ilmuwan berlomba-lomba memecahkan misteri Segitiga Bermuda yang konon menyebabkan hilangnya ratusan kapal dan pesawat yang melintasi daerah tersebut. Namun akhir-akhir ini para ilmuwan telah menemukan satu faktor yang menyebabkan daerah ini menjadi salah satu tempat paling berbahaya di dunia. Killer clouds Itulah yang dipercaya kebanyakan ilmuwan telah menenggelamkan dan menghancurkan banyak kapal serta pesawat di daerah misterius tersebut. Para peneliti menyebutkan bahwa killer clouds yang berbentuk heksagonal itu dapat berkumpul dan membentuk segitiga besar Bermuda itu. Selain berpenampilan mengerikan, kekuatan killer clouds juga sangat mengerikan Fenomena killer clouds dapat menyebabkan angin mematikan berkecepatan 273,6 km/jam yang mereka deskripsikan sebagai bom udara. Mereka percaya bahwa ledakan-ledakan brutal udara tersebut lah yang mampu membalik kapal dan bahkan menenggelamkan pesawat ke dalam laut."
Apa saja hal misterius yang terjadi sepanjang sejarah?,"The Stupidest Sports Book of All Time The unknown cox Pada Olimpiade Paris tahun 1900, tim dari Belanda berhasil lolos ke final untuk nomor coxed pairs (2 pendayung dan 1 coxswain/pengarah). Meskipun demikian, mereka mengalami kesulitan karena coxswain mereka dianggap terlalu gemuk dan beratnya naik menjelang final, sehingga dianggap akan memperlambat laju perahu. Akhirnya pendayung Francois Brandt dan Roelof Klein berkeliling kota untuk mencari seseorang yang dapat mengisi posisi coxswain yang berkewarganegaraan Belanda dan tidak terlalu gemuk. Sayangnya mereka tidak dapat menemukan seorang Belanda. Tapi mereka menemukan seorang bocah kecil yang bersedia untuk bergabung dengan mereka. Untungnya sang bocah lumayan bisa menjalankan tugasnya dan dengan bobotnya yang di bawah rata-rata memberi keuntungan untuk tim Belanda yang akhirnya berhasil memenangkan medali emas. Sang bocah tidak dapat ditemukan kembali setelah pertandingan dan tim Belanda beranggotakan Brandt, Klein dan the unknown cox tercatat dalam sejarah sebagai pemenang medali emas di nomor tersebut. Identitas the unknown cox tidak pernah diketahui. Apalagi nasibnya."
Misteri tubuh manusia apa yang belum terpecahkan?,"Saya pernah baca, katanya tulang ekor manusia lah yang masih menjadi misteri mengenai fungsinya dan sampai sekarang para ilmuwan barat, dokter barat masih mencari cari fungsi dari tulang ekor manusia itu untuk apa.Gambar Tulang Ekor Nah dilain waktu saya tidak sengaja membaca tentang hadisnya Nabi Muhammad SAW, yang mengatakan bahwa, dihari Kiamat nanti, Allah SWT akan membangkitkan manusia dari kubur melalui tulang ekornya, karena sewaktu manusia itu meninggal, satu satunya bagian tubuh yang tidak akan hancur hanya tulang ekor. Hadisnya:"
Apa saja misteri internet yang tidak terpecahkan sampai saat ini?,Sebuah laman video misterius pada youtube yang nama akun Webdriver torso tiba-tiba terbuat pada youtube pada tahun 2013. Akun tersebut selalu mengunggah sebuah video yang berdurasi 11 detik setiap menitnya pada satu hari.Didalam video tersebut hanya menampilkan bentuk kotak dengan warna merah dan biru dengan suara ‘bip’ yang sangat aneh. Hingga saat ini masih belum ada yang mengetahui apa arti dari video yang diunggah tersebut. Tetapi ada banyak juga yang mengatakan bahwa video tersebut adalah sebuah video yang dimaksudkan untuk memanggil mata-mata. Pada tahun 2014 Google mengungkapkan bahwa akun ini hanya merupakan akun yang dipergunakan untuk menguji kualitas layanan video tersebut. Namun dengan informasi tersebut masih banyak juga yang mengatakan bahwa video tersebut masih memiliki maksud tertentu.
Apa beberapa misteri yang belum terpecahkan yang kurang diketahui?,What are some little known unsolved mysteries?
Apa misteri paling menyeramkan yang belum terpecahkan hingga saat ini?,"Siapa Pembunuh Munir yang Sebenarnya?Munir sedang melakukan perjalanan dari Jakarta ke Belanda. Dia naik pesawat Garuda GA-794. Pesawat yang ditumpanginya berangkat dari Jakarta pada 6 September 2004 pukul 21.55 WIB dan sempat transit di Singapura esok harinya sekitar pukul 00.40 waktu setempat. Kemudian, perjalanan dilanjutkan kembali menuju Amsterdam pada 01.50 waktu setempat. Sekitar tiga jam setelah pesawat lepas landas dari Bandara Changi, Singapura, Najib seorang supervisor awak kabin menyampaikan laporan kepada pilot in command Captain Pantun Matondang terdapat penumpang sakit di kursi nomor 40G bernama Munir. Ia terlihat bolak-balik ke toilet. Selanjutnya Matondang memerintahkan Najib untuk segera meminta pertolongan kepada penumpang berprofesi dokter, yang duduk di kursi nomor 1 J untuk memberikan pertolongan kepada Munir. Munir dipindahkan duduknya dekat dengan dokter tersebut. Ketika itu Munir dalam keadaan tenang dan beristirahat. Saat sekitar dua jam pesawat akan mendarat di Bandara Schiphol, Amsterdam, Najib dan dokter melihat kondisi Munir. Tapi, Munir ternyata sudah meninggal dunia. Munir meninggal pukul 06.10 Selasa 7 Desember 2004 waktu setempat. Suciwati meminta pertolongan kepada presiden untuk mengungkap kematian Munir. Dilansir artikel CNN Indonesia | Berita Terbaru, Terkini Indonesia, Dunia berjudul 'Munir, Suciwati, dan Komedi Putar Tanpa Akhir', Suciwati menghadap Presiden Susilo Bambang Yudhoyono untuk meminta bantuan. Pertemuan itu menghasilkan keputusan presiden untuk membentuk tim pencari fakta (TPF) Munir. Sebulan TPF bekerja, Suciwati mendapatkan laporan ada fakta yang menunjukkan benang merah pembunuhan dan penyalahgunaan wewenang Badan Intelijen Negara (BIN), beberapa petinggi BIN disebut, termasuk sang kepalanya saat itu Hendropriyono. Hasil TPF ini diserahkan ke Presiden SBY pada 24 Juni 2005 dan setelahnya TPF dibubarkan. Sementara, dari persidangan pembunuhan Munir, hanya satu orang yang terbukti bersalah, yaitu pilot Garuda Indonesia, Pollycarpus Budihari Priyanto. Dia divonis 14 tahun penjara. Setelah menerima beberapa kali remisi, Pollycarpus pun dinyatakan bebas bersyarat pada November 2014. Deputi V BIN saat itu Muchdi Prawiro Pranjono pernah dijadikan tersangka dalam kasus ini. Namun, pengadilan kemudian membebaskannya dari segala dakwaan. Kasus itu kemudian menggantung. Setelah pergantian presiden dari SBY ke Joko Widodo, Suciwati menanyakan kasus pembunuhan suaminya lagi. Namun, pihak Istana mengiranya kasus ini sudah selesai. Suciwati lalu mengajukan perkara ke Komisi Informasi Pusat (KIP), menuntut agar dokumen hasil penyelidikan TPF dipublikasikan. Lewat surat putusan Nomor 025/IV/KIP-PS-A/2016 tanggal 10 Oktober 2016, KIP menyatakan bahwa dokumen TPF Munir yang sudah diserahkan ke Presiden RI pada tahun 2005 merupakan informasi publik dan harus diumumkan kepada masyarakat. Namun, Kementerian Sekretaris Negara tidak memegang dokumen TPF itu. Hingga kini dokumen TPF itu masih belum diketahui keberadaannya. Catatan kaki:Mengenang Kembali Bagaimana Munir Meninggal di UdaraKematian Munir itu terjadi pada 7 September 2004, 15 tahun lalu. Namun, beberapa pertanyaan masih belum terjawab, meski tersangka pembunuhnya, Pollycarpus Budihari Priyanto, sudah dihukum.https://voi.id/memori/638/mengenang-kembali-bagaimana-munir-meninggal-di-udara"
Apa misteri terkenal yang masih belum terselesaikan?,What infamous mystery is still unresolved/cracked?
Siapa pembunuh munir yang sebenarnya?,"Siapa pembunuh munir yang sebenarnya? Operasi Pembunuhan munir, adalah kalaulah operasi agen amatiran jauh kwalitas nya dibandingkan operasi pembunuhan mossad di luar negri, operasi agen CIA dan KGB dimasa perang dingin, tentu jauhhhh kwalitasnya. pertama, mudah ketahuan hampir sesaat setelah mendarat dibelanda, sebab di dalam penerbangan lingkupnya sempit dan identitas penumpang dan awak tercatat dengan rapi. Mudah ditelusuri latar belakang orang orang dalam penerbangan yg sama. Kedua, Kenapa 'pembunuh' nya harus ikut dalam penerbangan sampai tujuan??? Bahkan duduk berdekatan, bahkan bersama-sama saat transit di singapore, maksudnya sebagai orang asing yg baru berkenalan dengan calon korban , terlalu intens ""sok akrab"" nya , hingga sangat mudah diungkap. Ketiga, kantor si 'agen pembunuh' dengan mudah dan cepat terungkap juga, bahkan oleh investigasi jurnalistik.16 Tahun Kasus Munir: Raibnya Dokumen Hingga Mengejar Dalang Utama Kasus pembunuhan aktivis Munir masih menyisakan banyak pertanyaan. https://nasional.tempo.co/read/1383957/16-tahun-kasus-munir-raibnya-dokumen-hingga-mengejar-dalang-utamaHarusnya layaknya operasi intelejen, mestinya apabila tertangkap/gagal akan tidak diakui, apabila berhasil tidak dipuji dan tidak diakui juga. Konteknya terlalu rahasia umum, bahwa korban adalah tokoh fokal dengan musuh tunggal, jadi mudah diduga siapa pelakunya. Lebih aman dan MURAH memakai operasi intelejen dengan cara kasar, misalnya preman yg menikam saat dijalan deket rumahnya, akan lebih terkesan sebagai kriminal biasa. Keempat, alat pembunuhnya, adalah racun teknologi rendah yang sangat mudah ditelusuri secara forensik. Bahkan sampai bisa dilacak dengan mudah dan cepat antara waktu action sampai akibat nya."
Siapa pembunuh paling menarik dalam sejarah?,Who is the most fascinating murderer in history?
Siapakah tokoh paling unik sepanjang sejarah menurutmu?,"Namanya Yahya.. nggak pernah dengar kan nama tokoh ini? Bapaknya bernama Syaraf…tambah nggak kenal kan? Tidak sempat menikah sepanjang hidupnya, meninggal umur 40 tahunan…tambah nggak kenal kan? Ya…emang nggak terkenal kok, hanya orang-orang tertentu aja yang kenal..hehe, makanya baca sampai bawah ya. Fakta-fakta unik tentang tokoh ini:Senang membaca dan menggali ilmu semenjak kecil, hafal Quran 30 juz Quran umur 10 tahun, pernah dikejar oleh teman-teman sesama bocahnya untuk bermain namun ia menghindar sambil berlari seraya menangis dan menghafal Quran.2 tahun penuh tidak pernah tidur nyenyak tersibukkan dengan membaca dan menimba ilmuSetiap hari menghadiri 12 pelajaran di sekolah / guru yang berbedaUmurnya 44 tahun namun karya tulisnya sangat banyak, seandainya karya tulisnya dibagi dengan jumlah umurnya maka sehari ia menulis lebih dari 10 lembar.Mmapu menghafal isi kitab yang ia pelajari dalam waktu yang singkat, sehingga gurunya al-Maghribi memintanya untuk mengajar menggantikannya.Hampir semua disiplin ilmu Islam dikuasainya dan memiliki karya tulis di masing-masing ilmu itu yang masih dinikmati para penikmat kitab-kitab klasik di seantro dunia Islam.Dikatakan bahwa beliau meninggal karena terkena penyakit ambeien.Lahir tahun 1233 meninggal 1277, di antara karya tulis fenomenalnya adalah Riyadhus Shalihin dan Al-Arba'in An-Nawawiyyah.Keterangan foto:Manuskrip tulisan tangan kitab Arba'in Nawawiyyah di perpustakaan Chester Beatty Irlandia.Keterengan foto: kitab Riyadhus Shalihin, salah satu kitab hadits paling terkenal karya tokoh yang kita bicarakan ini. Nama populer beliau ini adalah Imam Nawawi, lahir di daerah Nawa (sebuah daerah di Suriah sekarang ini). Sumber bacaan: يحيى بن شرف النووي - ويكيبيديا الإمام النووي.. حياة مع العلم"
