question,answer
Bagaimana cara menggunakan otak dengan baik dan benar?,"Nih saya kasih triknya.Berpikir positif, itu no. 1, misalnya ada berita-berita tentang buruknya Pemerintahan ga usah ikut nyinyir wong kita cuma rakyat jelatah bisa apa, nrimo dan legowo kalau kata orang tua. Ga nyinyir aja sudah memberikan dampak positif tau tidak.Jangan keseringan lihat bokep, sesekali ya ga apa2 buat cuci mata, tapi jangan save di memori otak tar inget terus lagi.Ga usah ribet dengan keyakinan dan kepercayaan umat Agama lainnya kalau tidak seiman, urus saja urusan masing-masing.Jangan langsung percaya berita-berita di sosmed, telusuri dulu sumbernya biar ga kena kasus penyebaran hoax.Sering mikir kehidupan alam dan isinya biar dapat ilmu yang bermanfaat.Sering mikirin tentang Tuhan untuk orang beragama, ketimbang loe mikir Jokowi ga becus kerja dlsb ga manfaat kan.Banyak deh pokoknya 😊😊😊"
Bagaimana cara melatih otak kita agar tidak lemot?,"Ada banyak cara, yang pasti GOAL untuk latihan Otak ialah ""Meningkatkan kinerja stimulus neuron dan responsif motoriknya"" (cmiiw) Ijinkan sy berbagi 2 hal tentang yang saya sering lakukan sejak duduk dibangku SMP dan sampai saya kuliah, saya masih terapkan skill ini. skill ini dikenal dengan Mnemonic & Mind Mapping. (familiar bukan?) skill mnemonic : memungkinkan kita menghafal barisan numerik maupun pattern yang terlihat oleh mata kita hanya dalam hitungan detik.caranya sederhana : Seringlah membaca, mengenal angka, dan sering lihat colour pallette beserta kode warnanya, semakin banyak informasi yang kamu dapat semakin bagus untuk kamu mengingatnya dalam satu istilah yang kamu tentukan sendiri.kuncinya : Kamu yang paling ngerti apa istilah yang paling tepat untuk informasi yang kamu ketahui, mau sebesar atau seluas apapun informasi itu. Contoh : Ketika saya mengetahui ada 7 warna dasar pada pelangi, saya mengingatnya menjadi Mejikuhibiniu (sementara orang awam belum tentu tahu itu adalah merah jingga kuning hijau biru nila dan ungu)*bagi yg lbh expert mgkn bisa kasih tambahan silahkan share juga hehe..gak perlu menjadi pelukis gak perlu menjadi ahli matematika sebab skill Mnemonic ini justru akan menambah skill kamu yang lainnya, kamu akan mudah menghafal gambar, menghafal pola dan bisa juga kamu jd ahli dlm berhitung. yang ke 2 tidak kalah menariknya ialah Mind Mapping.semua suka dengan skill ini bukan, hanya modal kertas kosong dan pena atau pencil, lalu kita buat lingkaran besar ditengah² dan beri garis garis lurus disetiap kelilingnya dan masing² ujung garis itu buat lagi lingkanan kecil. latihannya juga sederhana :Pada lingkaran besar, isi hal apa (Impian) yg mau kamu capai. Sedangkan pada lingkaran yang kecil, isi hal yang mendukung, semakin banyak, isi di lingk kecil lain, dan apabila masih banyak, kembangkan lagi sampai kamu menemukan seberapa luas dan luar biasanya wawasan yang kamu miliki hanya untuk memetakan 1 hal yaitu Impian yang kamu isi di Lingk besar tadi.thx sudah bertanya, selamat Mencoba…"
Akhir-akhir ini saya semakin merasakan otak saya lemah dan sulit mengingat. Apakah ada obat untuk membuat otak fokus?,"Cari tahu dulu Bu penyebab dari kesulitan fokusnya apa… Stress, gangguan cemas, depresi bisa menyebabkan kesulitan untuk fokus. Multitasking yang berlebihan, kelelahan fisik, kurang tidur bisa menyebabkan mudah lupa. Mengkonsumsi alkohol, obat obatan terlarang juga dapat menyebabkan kesulitan fokus. Coba analisa dahulu penyebabnya…. Saran saya: coba lakukan pencatatan kecil di kertas atau buku, hal hal apa yang perlu diingat atau dikerjakan, multitasking boleh tapi batasi jangan berlebihan, istirahat cukup, hindari stress kalo sudah mulai suntuk boleh cari pelarian (bernyanyi, main game, ngobrol, nonton, memasak etc…) Kalau makanan : makanan manis (sumber energi otak dan merupakan anti kortisol) hanya jangan kebablasan, makanan kaya DHA, Caffein (jangan dikonsumsi 3 jam sebelum tidur), probiotik (brain-gut Axis, healty gut promotes brain function)"
Apa cara terbaik untuk melatih otak saya agar bekerja dengan cepat?,cobalah sering2 membaca hal2 yang bermanfaat seperti ilmu pengetahuan setelah membaca simpulkan apa yang telah kmu baca tadi.
Bagaimana trik untuk membuat otak pintar tanpa melakukan tes IQ dan game asah otak?,"Sebenarnya ada yang perlu diluruskan terlebih dahulu dari pernyataan di pertanyaan ini. Tes IQ dengan hasil yang numerik, ditujukan untuk memberikan pengukuran atas nilai kecerdasan seseorang. Kalau hasil nya adalah kualitatif seperti anak ini cerdas, maka tidak bisa dibandingkan antara anak 1 dengan anak lainnya. Sehingga perlu peng-angka-an agar bisa dibandingkan hasil kecerdasan antara 1 dengan lainnya. Mirip - mirip IPK lah. Kemudian bagaimana cara otak menjadi pintar tanpa game asah otak? Cara simpelnya adalah dengan dilatih tapi bukan dengan game. Konsep ini yang sebenarnya juga dilakukan oleh game asah otak. Dimana otak anda diasah agar lebih cepat merespon. Akan saya beri contoh. Saat anda sering mempelajari fisika saja dalam waktu 6 bulan untuk persiapan olimpiade, anda akan lebih easy untuk mengerjakan soal - soal Fisika. Tapi akan payah saat anda mengerjakan soal - soal sejarah. Artinya apa? Artinya adalah otak anda sering terstimulus jalan neuronnya untuk mengerjakan soal FIsika secara fasih. Sel - sel syaraf yang dilatih akan lebih cepat transmisinya dibandingkan sel syaraf yang tidak dipekerjakan.Kalau dari guru saya, otak itu mirip otot hanya saja tanpa ada perasaan nyeri. Otot yang sering dilatih, dia akan menjadi lebih berbentuk, dan lebih kuat dalam menahan beban. Selain itu, otot akan menjadi lebih aktif dan mudah dalam melakukan suatu tindakan karena memang sudah dibiasakan latihan seperti itu. Sama halnya dengan otak, dimana otak yang sering dilatih, maka Hippocampus anda akan lebih kuat dan tidak mengempis.Gambaran tersebut menunjukkan hippocampus yang berbeda pada beberapa kondisi. Gangguan kognitif yang sedang, menunjukkan hippocampus yang mengempis, begitu juga pada kasus Alzheimer. Kemampuan kognitif dipengaruhi beberapa hal, keduanya adalah memori dan kemampuan solving problem. Kepintaran adalah kombinasi dari kedua ini. Anda mengingat pernah mempelajari suatu konsep, kemudian menerapkannya dalam sebuah problem. Caranyna biar pintar? Dilatih. Cara melatihnya saya tertarik dengan konsep 1% setiap hari untuk menjadi lebih baik. Anda tidak perlu langsung belajar banyak SKS dalam satu malam. Tetapi berprogress perlahan - lahan namun konsisten setiap hari. Disini otak akan lebih mudah untuk menerima dan beradaptasi, tidak mengalami brain depression karena bekerja terlalu kuat dalam sehari. Kalau saya dulu, suka belajar Fisika dimana setiap hari saya usahakan levelnya yang meningkat. Ngga perlu langsung belajar Fisika olim, tetapi belajar fisika UN dulu.Semuanya dilatih secara perlahan, bertahap, dan dalam waktu yang lama. Tidak ada waktu yang sangat - sangat cepat untuk meningkatkan kecerdasan seseorang. Kecuali, kecuali kalau film ini benar - benar nyata.Eh, tapi di film itu, orang tersebut tidak langsung bisa menyelesaikan masalah. Tetapi orang tersebut harus mempelajari bahwa dulu dirinya pernah belajar yang kemudian diterapkan secara cepat dalam solving problem. Achmad Nurdiansyah, 2020Nothing last forever, we can change the future How to Increase Brain Power, Boost Memory and Become 10X Smarter"
"Bagaimana saya bisa membuat otak saya lebih tajam, lebih cerdas, dan secepat kilat?","Beli buku Teka-teki Silang 10 buku, terus diisi semuanya tanpa sisa, dalam waktu sehari, dijamin otak anda menjadi sangat tajam setajam silet, dan super cerdas 🤗🤗🤗"
Bagaimana saya bisa melatih otak saya untuk tetap fokus?,How can I improve my focus?
Bagaimana cara mengasah otak kanan?,"Sama sekali tidak sulit:Seringlah bermain, karena bermain merangsang kerja otak kanan.Dalam bermain, berupayalah menghasilkan kegembiraan. Upaya awal seringkali menghasilkan kegembiraan yang merugikan orang lain. Perbaikilah dengan membuat kegembiraan yang tidak merugikan orang lain.Selalu membantu orang lain sehingga anda menjadi pemimpin. Orang yang mampu membantu orang lain akan semakin dapat diandalkan, dan orang memilih pemimpin yang dapat diandalkan.Jadi, bergembiralah dan bermainlah."
Bagaimana saya bisa berkonsentrasi lebih baik dalam studi saya dan meningkatkan waktu untuk belajar mandiri?,"Coba dengarkan musik Barok, atau musik video game. Jika ada satu lagu instrumen lo-fi yang kamu suka, coba loop lagu tersebut saat belajar. Matikan sosmed kalau perlu"
Bagaimana saya bisa berhenti merasa iri terhadap mereka yang lebih cerdas dan kreatif daripada saya?,"Semuanya berawal dari diri sendiri.Berhenti membandingkan diri dengan orang lain. Kamu berbeda dari mereka, kamu punya cara sendiri untuk menjadi lebih baik.Belajar mencintai diri sendiri. Lihat segi positif dari diri kamu, cari bakat kamu dan kembangkan kelebihan kamu. Kamu pantas mendapatkan ituBersyukur. Rasa iri tidak akan mengganggu jika kamu menikmati hidupmu dan bersyukur, semua orang di ciptakan sama dan tidak ada yang sempurna, Mereka bisa saja tidak memiliki kelebihan yang kamu miliki.Berusaha dan Jangan menyerah. Jadikan mereka sebagai motivator atau inspirasimu, belajarlah lebih banyak dan jangan putus asa. Mereka saja bisa kenapa kamu tidak?"
